,IF_single_elderly,income_percap,TVtime_codes,IF_existChildren,NumPC_list,IF_singleAE,income,NumWaterHeater_list,NumVehicle_codes,Cookingtime_codes,NumDryer_list,NumWashMach_list,NumCookingEquip_list,IF_coupleWithChildren,resident_codes,raw_income,percapita_en_total_no_vehicle,size,Reno_OtherHeatInsu_codes,IF_existElderly,IF_singleA,SummerSunshine_codes,GlassType_codes,IF_coupleA,elderNumber,resident,demographicType,NumTV_list,live_days,IF_grandparentKids,childrenNumber,NumAC_list,Reno_WindowGap_codes,ages_mean,IF_couple_elderly,gender_codes,HouseAge_codes,job,WinterSunshine_codes,WindowFrame_codes,Reno_WindowGlass_codes,IF_singleWithChildren,Reno_Wall_codes,IF_bigFamily,Weektime_list,cluster
2845,0,33333.33333,3.0,0,1,0,4,1,1,2.0,0,1,2,0,0.0,100000.0,418.6138453333333,3,6.0,0,0,8.0,0.0,0,0,1,9,2,7,0,0,4,6.0,42.33333333,0,0,7.0,0,5.0,0.0,6.0,0,6.0,0,7,0
2848,0,50000.0,1.0,0,0,0,3,1,1,1.0,0,1,1,0,0.0,50000.0,590.941653,1,6.0,0,0,7.0,1.0,0,0,1,7,1,7,0,0,0,5.0,33.71428571,0,1,4.0,0,6.0,0.0,5.0,0,6.0,1,7,0
2849,0,0.0,4.0,1,1,0,0,1,0,3.0,0,1,4,1,0.0,0.0,286.8299025,4,6.0,1,0,8.0,0.0,0,1,1,2,1,7,0,1,2,6.0,45.0,0,1,5.0,0,5.0,0.0,3.0,0,6.0,0,7,1
2852,0,15000.0,5.0,0,1,0,4,0,0,1.0,0,0,1,0,0.0,60000.0,58.708714575,4,6.0,1,0,7.0,0.0,0,2,1,8,1,7,0,0,0,6.0,42.75,0,0,3.0,2,6.0,1.0,6.0,0,6.0,0,7,1
2854,0,5000.0,5.0,0,1,0,3,1,0,1.0,1,1,2,0,0.0,30000.0,63.903339499999994,6,6.0,1,0,8.0,0.0,0,3,1,7,1,7,0,0,1,5.0,59.0,0,1,5.0,2,8.0,3.0,4.0,0,6.0,1,7,1
2857,0,35000.0,2.0,0,1,0,4,0,0,1.0,0,0,3,0,0.0,70000.0,215.39329125,2,3.0,1,0,5.0,0.0,0,1,1,10,1,7,0,0,1,3.0,52.0,0,0,0.0,0,3.0,1.0,3.0,0,6.0,0,7,0
2858,0,12500.0,3.0,0,1,0,3,1,0,1.0,0,1,1,0,0.0,50000.0,90.585369875,4,6.0,1,0,8.0,0.0,0,1,1,8,1,7,0,0,1,6.0,38.5,0,1,5.0,2,8.0,3.0,6.0,0,6.0,0,7,1
2862,0,10000.0,3.0,0,0,0,3,1,0,1.0,0,1,1,0,0.0,30000.0,162.4375282,3,6.0,0,0,5.0,0.0,1,0,1,1,1,7,0,0,1,6.0,34.5,0,1,6.0,2,3.0,0.0,6.0,0,6.0,0,7,0
2864,0,30000.0,3.0,1,1,0,4,1,0,1.0,0,1,3,1,0.0,60000.0,341.86430445,2,6.0,0,0,3.0,1.0,0,0,1,2,1,6,0,1,1,4.0,23.0,0,0,2.0,2,2.0,2.0,4.0,0,6.0,0,6,0
2867,0,20000.0,5.0,0,2,0,4,1,0,2.0,0,1,5,0,0.0,60000.0,423.47041599999994,3,6.0,1,0,5.0,1.0,0,2,1,8,1,7,0,0,1,5.0,43.33333333,0,1,5.0,2,3.0,3.0,5.0,0,6.0,0,7,0
