,id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num_x,vehicle_dist_x,vehicle_fuel_x,vehicle_use_x,fuel1_x,fuel2_x,fuel3_x,fuel4_x,fuel5_x,fuel6_x,fuel7_x,fuel8_x,fuel9_x,fuel10_x,vehicle_num_y,vehicle_dist_y,vehicle_fuel_y,vehicle_use_y,fuel1_y,fuel2_y,fuel3_y,fuel4_y,fuel5_y,fuel6_y,fuel7_y,fuel8_y,fuel9_y,fuel10_y,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_total,en_total_no_vehicle,prefecture_eng,en_total_percap,region,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes,en_ac_percap,en_computer_percap,en_cooking_percap,en_freezing_percap,en_heating_percap,en_laundry_percap,en_lighting_percap,en_television_percap,en_vehicle_percap,en_waterheating_percap,en_total_no_vehicle_percap,log_en_total,log_en_total_percap,log_expenditure,log_raw_income,log_income_percap,log_en_total_no_vehicle_percap,province_id,prefecture_id,cluster
666,3721,吉林省,吉林市,昌邑区,-1,76,2,1,3,1,0,0,2,4,0,3,45000,3,0,7,15000.0,2,400.0,1.5,30.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.5,40,1200,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,7,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,7,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,50.1683,37.02354082,924.8979592,3.64,6.71034,0.0,0.0,0.0,1022.44014,1022.44014,Jilin,340.81338,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0.0,0.0,16.72276666666667,12.341180273333334,308.29931973333333,1.2133333333333334,2.23678,0.0,0.0,0.0,340.81338,6.930924917802329,5.834264915614557,0.0,10.714439990727769,9.61587214452889,5.834264915614557,6,16,0
667,3722,吉林省,吉林市,昌邑区,1,45,1,1,5,1,0,2,4,4,2,3,50000,3,40000,7,16666.66667,2,600.0,2.0,30.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.5,40,1400,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0,98.865676,241.26102,55.53531123,924.8979592,0.0,20.13102,0.0,0.0,0.0,1340.690986,1340.690986,Jilin,446.8969955,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,32.95522533333333,80.42034,18.51177041,308.29931973333333,0.0,6.71034,0.0,0.0,0.0,446.8969953333333,7.201686027231457,6.104563284848117,10.596659732783579,10.819798284210286,9.721225994142234,6.104563284848117,6,16,0
668,3725,吉林省,吉林市,桦甸市,1,69,2,0,4,5,5,2,4,5,0,0,1000,2,15000,7,500.0,1,0.0,2.0,37.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,0,0,0,0,1,0,0,0.0,7,0.0,0,0,0,0,0,0,0,0,1,0,0,0.0,7,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,111.7025,0.0,0.0,0.0,8.8576488,0.0,0.0,0.0,120.5601488,120.5601488,Jilin,60.2800744,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0.0,0.0,55.85125,0.0,0.0,0.0,4.4288244,0.0,0.0,0.0,60.2800744,4.800409192134714,4.115454739530816,9.61587214452889,6.90875477931522,6.2166061010848646,4.115454739530816,6,16,0
669,3726,吉林省,白城市,洮南市,-1,49,2,0,4,2,0,0,3,4,1,3,35000,3,36450,7,11666.66667,4,983.333,1.678,22.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,1,0,0,0,0,0,0,1,1,0,0.0,7,0.0,0,1,0,0,0,0,0,0,1,1,0,0.0,7,0.0,0,1,0,0,0,0,0,0,1,1,0.0,0.0,152.54967,15.9547349,0.0,15.84385833,17.7152976,0.0,0.0,0.0,202.0635608,202.0635608,Baicheng,67.35452028,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,50.84989,5.318244966666667,0.0,5.28128611,5.9050992,0.0,0.0,0.0,67.35452026666667,5.3135190374230605,4.224707695096825,10.503724171902725,10.463131911491967,9.364576762701585,4.224707695096825,6,15,0
670,3727,吉林省,吉林市,昌邑区,1,58,2,1,4,1,0,2,2,4,2,3,48000,3,31000,7,16000.0,3,850.0,2.333,20.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.5,60,1700,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0,14.315392,246.548575,14.80941633,1135.102041,0.8008,24.157224,0.0,0.0,0.0,1435.733448,1435.733448,Jilin,478.577816,0,8,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0.0,4.771797333333333,82.18285833333333,4.93647211,378.36734700000005,0.2669333333333333,8.052408,0.0,0.0,0.0,478.577816,7.27012737687604,6.1729061668708765,10.34177474101152,10.778977123006351,9.680406499268875,6.1729061668708765,6,16,0
671,3731,吉林省,长春市,朝阳区,-1,73,2,1,4,1,3,5,1,3,0,2,24000,1,35000,7,24000.0,2,0.0,2.5,45.0,1,1.0,37.5,2.0,1,0.0,0.0,0.0,0.0,0,5.5,80,2400,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,464.373,12.76378792,1498.334694,12.45688889,20.0415488,0.0,0.0,357.63,2365.599919,2365.599919,Changchun,2365.599919,0,5,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0.0,0.0,464.373,12.76378792,1498.334694,12.45688889,20.0415488,0.0,0.0,357.63,2365.599919,7.769209570724142,7.769209570724142,10.463131911491967,10.085850775128717,10.085850775128717,7.769209570724142,6,13,0
672,3733,吉林省,吉林市,桦甸市,1,49,1,0,4,1,2,2,4,2,0,2,20000,2,17000,7,10000.0,2,1050.0,2.5,30.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,110.4410125,14.85886253,0.0,20.9698125,12.525968,95.06315,0.0,0.0,253.8588055,253.8588055,Jilin,126.9294028,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,55.22050625,7.429431265,0.0,10.48490625,6.262984,47.531575,0.0,0.0,126.92940275,5.540709687886231,4.851478570749297,9.741027444837728,9.90353755128617,9.210440366976517,4.851478570749297,6,16,0
673,3735,吉林省,白城市,洮南市,1,61,2,0,4,1,2,0,3,4,1,4,60000,4,15000,7,15000.0,3,400.0,1.333,22.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,1,0,0,0,0,1,1,0,0.0,7,0.0,0,0,0,1,0,0,0,0,1,1,0,0.0,7,0.0,0,0,0,1,0,0,0,0,1,1,0.0,38.02526,80.45037,11.88709003,0.0,0.0,2.23678,93.94476,0.0,0.0,226.54426,226.54426,Baicheng,56.63606501,0,8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.0,9.506315,20.1125925,2.9717725075,0.0,0.0,0.559195,23.48619,0.0,0.0,56.636065,5.427344768919264,4.054148500237419,9.61587214452889,11.002116507732017,9.61587214452889,4.054148500237419,6,15,0
674,3738,吉林省,长春市,朝阳区,-1,62,2,1,3,1,0,0,4,4,0,4,80000,5,62000,7,16000.0,1,0.0,3.0,52.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.5,60,200,1,0.0,0.0,0.0,0,1,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0,98.865676,464.373,31.90946979,1129.206122,8.872560667,33.104344,363.47675,0.0,0.0,2129.807923,2129.807923,Changchun,425.9615846,0,7,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0.0,19.7731352,92.8746,6.381893958,225.8412244,1.7745121334,6.620868799999999,72.69534999999999,0.0,0.0,425.9615846,7.664256493357688,6.056694043373496,11.034905792929415,11.289794413577894,9.680406499268875,6.056694043373496,6,13,0
675,3741,吉林省,白城市,洮南市,1,74,3,0,4,1,0,0,4,4,0,4,85000,4,30000,7,21250.0,2,600.0,2.0,30.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,0,0,0,0,0,1,0,0.0,7,0.0,0,0,0,0,0,0,0,0,0,1,0,0.0,7,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,131.84717,0.0,0.0,0.0,2.23678,120.78612,0.0,0.0,254.87007,254.87007,Baicheng,63.7175175,0,5,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0.0,0.0,32.9617925,0.0,0.0,0.0,0.559195,30.19653,0.0,0.0,63.7175175,5.544669776575516,4.170031914474394,10.308985993422082,11.350418300109132,9.96415923206886,4.170031914474394,6,15,0
