,IF_single_elderly,income_percap,TVtime_codes,IF_existChildren,NumPC_list,IF_singleAE,income,NumWaterHeater_list,NumVehicle_codes,Cookingtime_codes,NumDryer_list,NumWashMach_list,NumCookingEquip_list,IF_coupleWithChildren,resident_codes,raw_income,percapita_en_total_no_vehicle,size,Reno_OtherHeatInsu_codes,IF_existElderly,IF_singleA,SummerSunshine_codes,GlassType_codes,IF_coupleA,elderNumber,resident,demographicType,NumTV_list,live_days,IF_grandparentKids,childrenNumber,NumAC_list,Reno_WindowGap_codes,ages_mean,IF_couple_elderly,gender_codes,HouseAge_codes,job,WinterSunshine_codes,WindowFrame_codes,Reno_WindowGlass_codes,IF_singleWithChildren,Reno_Wall_codes,IF_bigFamily,Weektime_list,cluster
2,1,0.0,2.0,0,0,1,0,0,0,1.0,0,1,2,0,0.0,0.0,1666.313973,1,6.0,1,0,1.0,0.0,0,1,1,5,1,7,0,0,0,5.0,80.0,0,0,4.0,0,1.0,2.0,6.0,0,6.0,0,7,0
3,0,25000.0,4.0,0,0,0,3,1,0,1.0,0,1,5,0,0.0,50000.0,526.0794215,2,6.0,1,0,8.0,1.0,0,2,1,6,2,7,0,0,1,3.0,60.5,1,1,5.0,0,7.0,2.0,5.0,0,5.0,0,7,0
6,0,15600.0,3.0,0,0,0,3,1,0,4.0,0,1,2,0,0.0,31200.0,1415.812598,2,6.0,1,0,5.0,1.0,0,2,1,6,1,7,0,0,1,6.0,71.5,1,1,4.0,0,2.0,2.0,5.0,0,5.0,0,7,0
7,0,16666.66667,2.0,0,1,0,3,1,0,1.0,0,1,3,0,0.0,50000.0,560.6164386666667,3,6.0,0,0,7.0,1.0,1,0,1,1,2,6,0,0,2,6.0,43.5,0,0,4.0,2,4.0,2.0,5.0,0,6.0,0,6,0
8,0,40000.0,2.0,0,1,0,4,1,0,1.0,0,1,1,0,1.0,80000.0,868.869288,2,6.0,0,0,3.0,0.0,0,0,0,9,1,7,0,0,1,6.0,36.25,0,1,2.0,2,2.0,2.0,6.0,0,6.0,0,7,1
9,0,12500.0,2.0,0,0,0,3,0,0,1.0,0,1,2,0,1.0,50000.0,36.992253225,4,6.0,0,0,7.0,0.0,0,0,0,9,1,7,0,0,0,6.0,39.25,0,0,3.0,0,5.0,0.0,5.0,0,5.0,0,7,0
10,0,25000.0,4.0,0,0,0,3,1,0,2.0,0,1,4,0,0.0,50000.0,691.2538355,2,5.0,1,0,4.0,1.0,0,2,1,6,1,7,0,0,1,5.0,69.5,1,1,4.0,0,1.0,2.0,5.0,0,5.0,0,7,0
12,0,62500.0,5.0,0,1,0,6,1,0,4.0,0,1,5,0,0.0,250000.0,666.04978275,4,6.0,1,0,8.0,1.0,0,2,1,8,2,7,0,0,2,6.0,56.66666667,0,1,4.0,0,6.0,2.0,5.0,0,6.0,0,7,1
15,0,33333.33333,2.0,0,0,0,4,1,0,4.0,0,1,3,0,0.0,100000.0,387.9073003333333,3,4.0,1,0,2.0,0.0,0,2,1,8,1,7,0,0,0,4.0,62.66666667,0,1,5.0,0,2.0,1.0,4.0,0,6.0,0,7,1
18,0,46666.66667,5.0,0,1,0,5,1,0,4.0,0,1,7,0,0.0,140000.0,1216.9466686666667,3,6.0,1,0,8.0,1.0,0,3,1,8,3,7,0,0,3,6.0,69.66666667,0,0,6.0,0,8.0,2.0,6.0,0,6.0,0,7,1
