,Unnamed: 0.1,index,Unnamed: 0,id,ages_mean,gender_codes,family_size,income_list,expenditure_list,resident_codes,region_codes,NumCookingEquip_list,NumWashMach_list,NumDryer_list,NumTV_list,NumPC_list,NumFluLamp_codes,NumIcdLamp_codes,NumESLamp_codes,NumHeater_list,NumWaterHeater_list,NumAC_list,NumVehicle_codes,HouseAge_codes,WindowFrame_codes,GlassType_codes,Reno_WindowGlass_codes,Reno_WindowGap_codes,Reno_Wall_codes,Reno_OtherHeatInsu_codes,WinterSunshine_codes,SummerSunshine_codes,Weektime_list,Cookingtime_codes,Fridgetime_codes,Washmachinetime_codes,TVtime_codes,PCtime_codes,FluLamptime_codes,IcdLamptime_codes,ESLamptime_codes,MthHeattime_codes,DayHeatertime_codes,Waterheatingtime_codes,ACtime_codes,perCapitaHouseholdEmission,perCapitaCookingEmission,perCapitaRefrigerationEmission,perCapitaLaundryEmission,perCapitaTVEmission,perCapitaPCEmission,perCapitaLighteningEmission,perCapitaHeatingEmission,perCapitaWaterheaterEmission,perCapitaACEmission,perCapitaVehicleEmission,TotalEmission,CookingEmission,RefrigerationEmission,LaundryEmission,TVEmission,PCEmission,LighteningEmission,HeatingEmission,WaterheaterEmission,ACEmission,VehicleEmission,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren
2725,2725,2725,2726,12667,32,1,4,110000,9999998,1,3,2,1,0,1,1,999999,999999,5.5,999999,1,1,1,999999,0,0,6,6,6,6,2,3,5,2,4,2,3,1,999999,999999,3,999999,999999,2,3,84.10727138,72.89464,2.70082001,,,1.99654,0.76667136,,5.7486,,,336.4290855,291.57856,10.80328004,,,7.98616,3.06668544,,22.9944,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2726,2726,2726,2727,12671,56,1,2,17000,23000,1,3,3,1,0,1,0,5.5,999999,5.5,999999,0,1,0,4,1,0,6,6,6,6,5,7,7,4,4,4,4,999999,3,999999,3,999999,999999,999999,0,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,1,1,0
2727,2727,2727,2728,12678,23.25,1,4,9999999,15000,1,3,1,1,0,1,1,2.5,999999,2.5,999999,1,0,0,6,0,0,6,6,6,6,999999,999999,7,2,2,2,2,3,3,999999,3,999999,999999,3,999999,143.1403288,25.156404,1.350410006,8.385468,3.3541872,2.68334976,1.610009856,,100.6005,,,572.5613153,100.625616,5.401640022,33.541872,13.4167488,10.73339904,6.440039424,,402.402,,,2,0,0,0,0,0,0,1,0,0,2,0,0,1
2728,2728,2728,2729,12686,20.25,1,4,80000,45000,1,3,1,1,0,1,0,2.5,2.5,999999,999999,1,0,1,7,0,1,6,6,6,6,8,8,7,2,4,2,1,999999,2,1,999999,999999,999999,1,999999,550.1405365,1.6770936,6.254072138,1.4375088,3.3541872,,1.34167488,,70.278,,465.798,2200.562146,6.7083744,25.01628855,5.7500352,13.4167488,,5.36669952,,281.112,,1863.192,2,0,0,0,0,0,0,1,0,0,2,0,0,1
2729,2729,2729,2730,12698,69,0,1,1200,6000,1,3,2,1,0,1,0,5.5,999999,2.5,999999,0,0,0,4,1,0,6,6,6,6,4,6,7,1,4,1,1,999999,2,999999,1,999999,999999,999999,999999,336.5882445,309.5116752,12.39680929,0.010781316,,,14.66897869,,,,,336.5882445,309.5116752,12.39680929,0.010781316,,,14.66897869,,,,,5,1,1,0,0,0,0,0,0,0,0,1,1,0
2730,2730,2730,2731,12700,24.66666667,0,3,9999999,37000,1,3,3,1,0,2,0,8.5,2.5,999999,999999,1,1,0,5,1,0,5,6,6,6,999999,999999,7,4,4,2,3,999999,3,0,999999,999999,999999,2,0,721.972641,413.984592,,,,,12.82044885,,295.1676,,,2165.917923,1241.953776,,,,,38.46134656,,885.5028,,,2,0,0,0,0,0,0,1,0,0,1,0,0,1
2731,2731,2731,2732,12708,47.375,1,8,0,212400,1,3,1,0,0,0,0,2.5,999999,5.5,1,0,0,0,3,1,0,6,6,6,6,5,6,7,4,999999,999999,999999,999999,0,999999,1,999999,2,999999,999999,27.68351623,27.39282,,,,,0.290696224,,,,,221.4681298,219.14256,,,,,2.325569792,,,,,7,0,0,0,0,0,0,0,0,1,2,4,1,1
2732,2732,2732,2733,12713,25.25,1,4,10000,9999998,1,3,2,1,0,1,0,5.5,2.5,999999,999999,1,2,0,6,2,1,6,6,6,4,7,8,7,3,4,2,3,999999,3,2,999999,999999,999999,2,2,95.03508778,77.9828868,2.501628855,0.015812597,0.055344089,,6.26114944,,,8.218266,,380.1403511,311.9315472,10.00651542,0.063250387,0.221376355,,25.04459776,,,32.873064,,2,0,0,0,0,0,0,1,0,0,2,0,0,1
2733,2733,2733,2734,12716,39.25,0,4,7000,14640,1,3,3,1,0,1,0,2.5,999999,2.5,1,1,0,0,7,0,0,6,6,6,6,6,1,7,1,4,3,3,999999,3,999999,3,999999,6,0,999999,135.1118922,103.450074,6.752050028,11.97924,5.0312808,,1.610009856,,6.2892375,,,540.4475687,413.800296,27.00820011,47.91696,20.1251232,,6.440039424,,25.15695,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2734,2734,2734,2735,12717,37,0,4,100000,12000,1,3,5,1,0,2,0,999999,5.5,5.5,1,1,0,0,5,1,0,1,1,1,1,5,7,7,4,4,2,5,999999,999999,3,3,999999,6,3,999999,290.1847403,75.3763752,6.752050028,8.385468,26.8334976,,6.440039425,154.32525,12.07206,,,1160.738961,301.5055008,27.00820011,33.541872,107.3339904,,25.7601577,617.301,48.28824,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2735,2735,2735,2736,12721,58.75,0,4,5000,2950,1,3,1,0,0,1,0,5.5,5.5,999999,999999,0,0,0,4,1,3,999999,6,6,6,8,8,7,3,4,999999,5,999999,3,3,999999,999999,999999,999999,999999,81.63660785,54.78564,2.70082001,,13.4167488,,10.73339904,,,,,326.5464314,219.14256,10.80328004,,53.6669952,,42.93359616,,,,,8,0,0,0,0,0,0,0,0,0,0,2,1,0
2736,2736,2736,2737,12723,79,0,1,900,800,1,3,1,0,0,0,0,999999,999999,2.5,999999,0,0,0,0,1,3,6,6,6,6,6,8,7,1,2,999999,999999,999999,999999,999999,2,999999,999999,999999,999999,333.750712,328.71384,4.321312018,,,,0.715559936,,,,,333.750712,328.71384,4.321312018,,,,0.715559936,,,,,5,1,1,0,0,0,0,0,0,0,0,1,1,0
2737,2737,2737,2738,12732,40.75,1,4,70000,50000,0,3,2,1,0,1,1,2.5,999999,2.5,1,1,0,1,5,0,0,5,5,6,6,2,4,7,3,4,0,2,0,5,999999,3,999999,5,2,999999,993.5634623,230.8759362,3.376025013,0.000621999,3.3541872,0.08385468,3.846134655,44.23104,664.1271,,43.6685625,3974.253849,923.5037448,13.50410005,0.002487996,13.4167488,0.33541872,15.38453862,176.92416,2656.5084,,174.67425,2,0,0,0,0,0,0,1,0,0,1,1,1,1
