id,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes
15989,9,0,0,0,0,0,0,0,0,0,1,0,0,1,7
15991,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
15993,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
15996,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7
15997,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16009,7,0,0,0,0,0,0,0,0,1,1,1,1,1,7
16010,8,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16014,8,0,0,0,0,0,0,0,0,0,0,3,1,0,7
16016,5,1,1,0,0,0,0,0,0,0,0,1,1,0,7
16022,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16029,4,0,0,0,0,0,0,0,1,0,2,1,1,1,7
16032,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16042,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16046,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16050,7,0,0,0,0,0,0,0,0,1,0,0,0,0,7
16051,7,0,0,0,0,0,0,0,0,1,2,1,1,1,7
16054,7,0,0,0,0,0,0,0,0,1,0,2,1,0,7
16059,7,0,0,0,0,0,0,0,0,1,1,1,1,1,7
16063,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16073,8,0,0,0,0,0,0,0,0,0,1,1,1,1,7
16074,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7
16075,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16077,7,0,0,0,0,0,0,0,0,1,2,2,1,1,7
16082,3,0,0,0,0,0,1,0,0,0,2,0,0,1,7
16088,7,0,0,0,0,0,0,0,0,1,0,0,0,0,7
16089,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
16097,3,0,0,0,0,0,1,0,0,0,1,0,0,1,7
16100,7,0,0,0,0,0,0,0,0,1,0,2,1,0,7
16103,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16108,7,0,0,0,0,0,0,0,0,1,2,1,1,1,7
16109,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16113,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16117,2,0,0,0,0,0,0,1,0,0,2,0,0,1,7
16137,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16142,4,0,0,0,0,0,0,0,1,0,1,1,1,1,7
16148,3,0,0,0,0,0,1,0,0,0,1,0,0,1,7
16149,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16152,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16153,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16154,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7
16160,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16164,10,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16165,4,0,0,0,0,0,0,0,1,0,1,2,1,1,7
16168,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7
16174,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16175,4,0,0,0,0,0,0,0,1,0,1,2,1,1,7
16185,8,0,0,0,0,0,0,0,0,0,1,3,1,1,7
16189,10,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16193,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16194,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16198,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
16208,7,0,0,0,0,0,0,0,0,1,2,2,1,1,7
16209,7,0,0,0,0,0,0,0,0,1,1,0,0,1,7
16210,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7
16213,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16218,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16220,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16221,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16232,7,0,0,0,0,0,0,0,0,1,2,2,1,1,7
16238,2,0,0,0,0,0,0,1,0,0,1,1,1,1,7
16245,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16252,8,0,0,0,0,0,0,0,0,0,0,2,1,0,7
16256,2,0,0,0,0,0,0,1,0,0,2,0,0,1,7
16257,7,0,0,0,0,0,0,0,0,1,4,2,1,1,7
16264,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7
16265,7,0,0,0,0,0,0,0,0,1,0,2,1,0,7
16274,7,0,0,0,0,0,0,0,0,1,1,1,1,1,7
16284,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16287,8,0,0,0,0,0,0,0,0,0,0,4,1,0,7
16289,7,0,0,0,0,0,0,0,0,1,0,1,1,0,7
16293,10,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16296,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16299,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
16306,10,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16309,6,0,0,0,1,0,0,0,0,0,0,1,1,0,7
16311,7,0,0,0,0,0,0,0,0,1,1,0,0,1,7
16312,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16313,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16315,7,0,0,0,0,0,0,0,0,1,2,2,1,1,7
16323,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16329,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
16331,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16336,7,0,0,0,0,0,0,0,0,1,2,1,1,1,7
16343,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7
16346,8,0,0,0,0,0,0,0,0,0,1,1,1,1,7
16350,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16351,2,0,0,0,0,0,0,1,0,0,2,0,0,1,7
16353,8,0,0,0,0,0,0,0,0,0,1,2,1,1,7
16358,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7
16365,7,0,0,0,0,0,0,0,0,1,2,0,0,1,7
16368,3,0,0,0,0,0,1,0,0,0,1,0,0,1,7
16369,7,0,0,0,0,0,0,0,0,1,0,1,1,0,7
16370,7,0,0,0,0,0,0,0,0,1,1,2,1,1,7
16372,2,0,0,0,0,0,0,1,0,0,1,0,0,1,7
16374,7,0,0,0,0,0,0,0,0,1,2,0,0,1,7
16384,7,0,0,0,0,0,0,0,0,1,1,1,1,1,7
16399,7,0,0,0,0,0,0,0,0,1,1,4,1,1,7
16400,8,0,0,0,0,0,0,0,0,0,0,1,1,0,7
16416,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
16426,7,0,0,0,0,0,0,0,0,1,0,2,1,0,7
16428,7,0,0,0,0,0,0,0,0,1,2,2,1,1,7
16435,6,0,0,0,1,0,0,0,0,0,0,2,1,0,7
16438,3,0,0,0,0,0,1,0,0,0,1,0,0,1,7
