,id,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating
55,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
56,439,,0.0,0.0,12.76378792,1945.889213,0.0,0.0,,662.265,
57,460,,,59.903764374999994,,0.0,,20.13102,,0.0,
58,468,0.0,100.31958300000001,175.990815,37.02354082,368.0651714,15.9370575,13.6890936,80.52408,0.0,671.3977041
59,470,22.85171875,10.736544,160.63774999999998,11.88709003,2678.571429,9.319916667,4.920916,95.06315,2980.1925,187.2348527
60,476,72.2652,38.02526,619.164,12.76378792,935.1603499,8.499764,32.656988,429.46176,0.0,187.2348527
61,478,0.0,,874.5230584999999,0.0,282.3015306,14.315392,62.182484,,993.3975,858.312
62,481,15.12246094,3.578848,151.09753750000002,6.754028425,0.0,,0.894712,13.42068,0.0,
63,489,0.0,54.130076,77.52289999999999,0.0,0.0,7.455933333,25.499291999999997,98.41832,0.0,312.0580878
64,490,11.14910846,46.97238,412.778275,19.14568188,612.955102,16.77585,48.314448,33.5517,0.0,312.0580878
65,493,,0.0,142.4399795,12.76378792,0.0,167.7585,6.262984,201.3102,1103.775,187.2348527
66,509,9.1406875,146.732768,796.068,34.46650531,1792.390671,0.0,31.31492,,0.0,195.71825
67,510,0.0,0.0,,,0.0,,0.0,,0.0,0.0
68,512,6.273020833,84.550284,126.22246,14.80941633,1793.571429,3.2032,0.894712,,662.265,83.87925
69,513,5.376875,8.94712,557.599186083,12.76378792,1681.632653,4.175322667,53.1458928,40.26204,1655.6625,187.2348527
70,515,,0.511264,,,0.0,,0.127816,,0.0,
71,518,,,149.554769,2.70161137,0.0,2.23678,5.815628,33.5517,0.0,
72,520,10.196859374999999,8.94712,396.748018333,37.02354082,975.8571429,2.982373333,8.8576488,60.39306,0.0,139.79875
73,528,3.9174375,,474.43851,31.90946979,2162.099125,3.35517,2.23678,93.94476,0.0,279.5429444
74,537,10.80175781,,28.76575,14.80941633,21.60351563,,0.31954,12.46206,0.0,
75,543,0.0,31.874115,115.700274083,18.51177041,1513.469388,6.262984,2.23678,80.52408,2833.0225,195.71825
76,551,6.042583334,3.578848,362.7030225,12.76378792,840.8163265,3.737066667,2.23678,,662.265,
77,553,0.0,16.104816,291.284175,15.9547349,383.0969388,16.77585,48.314448,363.47675,0.0,187.2348527
78,563,37.90696875,5.368272,93.18036,11.88709003,1138.77551,4.175322667,154.6062336,44.7356,0.0,312.0580878
79,566,0.0,,122.811173333,15.9547349,681.0612245,6.262984,12.525967999999999,60.39306,0.0,
80,572,60.519665074,54.130076,411.3802875,15.9547349,24.88725,41.939625,4.920916,91.70798,662.265,214.578
81,577,14.40234375,15.210104,238.9994425,23.96752027,4364.081633,40.04,20.13102,,662.265,214.578
82,581,6.659643750000001,15.210104,362.7030225,31.90946979,0.0,2.0384,4.47356,120.78612,0.0,
83,584,0.0,0.0,154.791,0.0,382.6530612,0.0,4.920916,,0.0,357.63
84,585,14.215113282,55.472144,546.8542625,59.43545014,0.0,26.84136,53.1458928,100.6551,2980.1925,279.5429444
85,587,57.609375,8.78735,642.5136249999999,29.71772507,2386.005831,11.98275,17.89424,28.7586,1214.1525,456.39664389999996
86,589,41.478750000000005,38.02526,141.5232,11.88709003,1317.725948,6.337543333,70.682248,,0.0,218.4406615
87,595,5.584908855,10.22528,103.131296667,12.76378792,1967.930029,5.084444444,3.51494,,0.0,127.5042537
88,600,,,451.71672,37.02354082,1460.466472,6.3908,37.961352,51.76548,0.0,
89,608,11.20182292,19.939296,199.02506000000002,15.9547349,0.0,6.3908,30.67584,81.4827,0.0,306.0102088
90,613,20.16328126,,335.721204,37.02354082,1254.673469,3.131492,2.23678,46.97238,0.0,357.63
91,615,14.39658281,,122.8681545,22.33662886,0.0,1.3979875,,214.73088,0.0,238.0079402
92,623,10.349204167,3.578848,366.07683233299997,12.76378792,0.0,2.135466667,3.0420208,60.39306,662.265,195.71825
93,629,,,407.186325,17.83063504,1093.294461,6.794666667,6.71034,,0.0,218.4406615
94,638,7.312550001,28.183428,151.928287875,25.52757584,1518.367347,6.337543333,4.920916,64.86662000000001,662.265,239.608238
95,641,6.169964063,,331.695,0.0,929.3877551,1.304788333,8.8576488,53.682719999999996,0.0,83.87925
96,642,8.64140625,37.577904000000004,222.646151,37.02354082,0.0,4.594718917,25.499292,26.84136,5298.12,268.4136
97,644,0.0,,874.662576667,19.14568188,0.0,0.0,20.13102,,0.0,
98,649,3.9174375,3.578848,236.129075,12.76378792,1464.139942,2.982373333,8.8576488,116.31256,0.0,335.517
99,655,25.828203124999998,10.736544,234.99803599999998,12.76378792,0.0,5.338666667,8.8576488,,1655.6625,55.9195
100,660,0.0,44.959278,553.527156,11.44363989,1254.673469,66.544205,32.656988,120.78612,0.0,187.2348527
101,667,,11.50344,236.925,0.0,650.5714286,0.0,2.87586,,0.0,357.63
102,669,5.040820313,,369.4406625,12.76378792,1792.390671,10.736544,1.9683664,33.5517,0.0,
103,681,,11.50344,2.39655,,0.0,,2.87586,,0.0,
104,682,,68.445468,70.216085333,15.9547349,1518.367347,2.684136,4.5630312,116.31256,0.0,139.79875
