Unnamed: 0,id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,prefecture_eng,region,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes
1931,9419,江西省,上饶市,信州区,-1,65,2,1,4,1,3,3,3,3,0,2,20000,6,10000,7,3333.333333,3,600,2.667,60,2,1.5,71.25,2,2,2.5,3333.333,330,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,1,0,0,0,0,0,0,0,0,0,Shangrao,1,7,0,0,0,0,0,0,0,0,1,3,2,1,1,3
1932,9423,江西省,鹰潭市,余江县,1,70,3,1,1,2,-99,-99,4,4,2,4,100000,2,-99,7,50000,3,725,0.952,37.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Yingtan,1,6,0,0,0,1,0,0,0,0,0,0,2,1,0,3
1933,9426,江西省,鹰潭市,余江县,-1,69,2,0,4,1,-99,1,4,4,1,1,10000,5,-99,7,2000,1,-99,3,90,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,1,1,Yingtan,1,6,0,0,0,1,0,0,0,0,0,0,2,1,0,3
1934,9427,江西省,宜春市,丰城市,-1,48,3,0,4,1,3,-99,3,3,0,4,100000,3,70000,7,33333.33333,2,-99,1.55,63.75,1,1,180,-99,1,2.5,2666.667,330,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,1,Yichun,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1935,9430,江西省,鹰潭市,余江县,-1,52,3,0,4,1,2,2,3,3,1,3,30000,4,10000,7,7500,2,1250,3,30,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Yingtan,1,9,0,0,0,0,0,0,0,0,0,2,0,0,1,3
1936,9432,江西省,鹰潭市,余江县,-1,52,2,1,5,2,2,3,3,4,2,4,80000,2,20000,7,40000,3,1175,2,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Yingtan,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1937,9433,江西省,上饶市,信州区,1,85,2,1,4,1,-99,3,3,4,0,3,50000,3,56000,7,16666.66667,3,850,1.81,27.5,0,-99,-99,-99,0,2.5,3333.333,210,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Shangrao,1,7,0,0,0,0,0,0,0,0,1,0,2,1,0,3
1938,9436,江西省,上饶市,信州区,1,29,2,1,5,1,2,3,3,4,2,4,96000,4,30000,7,24000,6,1116.667,2.25,45,1,1,52.5,1,1,2.5,3333.333,480,1,3,-99,-99,-99,1,2.25,13.5,11,7000,1,4,1,13.5,0,0,0,0,0,0,1,0,0,0,Shangrao,1,8,0,0,0,0,0,0,0,0,0,0,2,1,0,3
1939,9437,江西省,宜春市,丰城市,-1,74,3,1,4,1,3,3,2,2,2,3,30000,4,30000,7,7500,1,-99,2,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,1,1,Yichun,1,8,0,0,0,0,0,0,0,0,0,0,2,1,0,3
1940,9438,江西省,上饶市,信州区,1,48,3,1,5,1,2,-99,4,4,2,3,40000,4,30000,7,10000,4,833.333,2.107,60,1,1,37.5,1,1,1.75,3333.333,255,2,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Shangrao,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,3
1941,9439,江西省,赣州市,会昌县,-1,45,4,0,4,1,-99,-99,2,5,1,4,90000,5,47500,7,18000,3,850,1.81,52.5,1,2,37.5,1,1,2.5,2666.667,330,1,3,-99,-99,-99,1,2.25,-99,7.5,-99,1,1.75,0,0,1,0,0,0,1,0,0,0,0,0,Ganzhou,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1942,9440,江西省,赣州市,会昌县,1,28,3,0,5,3,-99,3,4,4,2,5,120000,4,31000,6,30000,1,-99,3,22.5,1,1,22.5,2,1,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Ganzhou,1,7,0,0,0,0,0,0,0,0,1,3,0,0,1,3
1943,9445,江西省,上饶市,信州区,-1,40,3,0,6,2,2,-99,2,4,2,5,120000,4,60000,7,30000,2,1250,2,52.5,1,1,52.5,2,1,2.5,3333.333,270,3,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Shangrao,1,2,0,0,0,0,0,0,1,0,0,2,0,0,1,3
1944,9449,江西省,赣州市,会昌县,-1,37,2,0,5,2,2,2,1,2,2,5,120000,4,-99,7,30000,1,-99,3,37.5,1,1,22.5,1,1,2.5,2666.667,330,-99,2,-99,-99,-99,1,2.75,7,7.5,10000,1,1.75,1,9,0,0,1,0,1,0,0,0,0,0,Ganzhou,1,2,0,0,0,0,0,0,1,0,0,2,0,0,1,3
1945,9456,江西省,上饶市,信州区,-1,27,2,1,6,1,3,-99,4,4,2,3,40000,2,12000,7,20000,2,150,2,37.5,1,1,37.5,-99,1,2.5,-99,270,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Shangrao,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1946,9457,江西省,鹰潭市,余江县,1,47,2,1,4,2,-99,3,4,4,2,3,30000,2,-99,7,15000,3,500,1.143,42.5,0,-99,-99,-99,0,3.5,2666.667,480,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Yingtan,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1947,9463,江西省,鹰潭市,余江县,-1,55,3,0,4,1,-99,2,3,4,1,2,20000,2,-99,7,10000,2,-99,2,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,Yingtan,1,6,0,0,0,1,0,0,0,0,0,0,2,1,0,3
