,id,ages_mean,gender_codes,family_size,income_list,expenditure_list,resident_codes,region_codes,NumCookingEquip_list,NumWashMach_list,NumDryer_list,NumTV_list,NumPC_list,NumFluLamp_codes,NumIcdLamp_codes,NumESLamp_codes,NumHeater_list,NumWaterHeater_list,NumAC_list,NumVehicle_codes,HouseAge_codes,WindowFrame_codes,GlassType_codes,Reno_WindowGlass_codes,Reno_WindowGap_codes,Reno_Wall_codes,Reno_OtherHeatInsu_codes,WinterSunshine_codes,SummerSunshine_codes,Weektime_list,Cookingtime_codes,Fridgetime_codes,Washmachinetime_codes,TVtime_codes,PCtime_codes,FluLamptime_codes,IcdLamptime_codes,ESLamptime_codes,MthHeattime_codes,DayHeatertime_codes,Waterheatingtime_codes,ACtime_codes,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,income_percapita,expenditure_percapita,Unnamed: 0,ac_emission,computer_emission,cooking_emission,freezing_emission,heating_emission,laundry_emission,lighting_emission,television_emission,vehicle_emission,waterheating_emission,percapita_ac_emission,percapita_computer_emission,percapita_cooking_emission,percapita_freezing_emission,percapita_heating_emission,percapita_laundry_emission,percapita_lighting_emission,percapita_television_emission,percapita_vehicle_emission,percapita_waterheating_emission,TotalHouseholdEmission,percapita_HouseholdEmission
10,84,69.5,1,2,50000,50000,0,0,4,1,0,1,0,2.5,999999.0,5.5,999999,1,1,0,4,2,1,5,5,5,5,1,4,7,2,4,2,4,999999,2,999999,0,3,999999,0,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,25000.0,25000.0,10,5.7609375,0.0,223.118805,37.02354082,860.706,0.559195,13.1522664,87.23442,0.0,143.052,2.88046875,0.0,111.5594025,18.51177041,430.353,0.2795975,6.5761332,43.61721,0.0,71.526,1370.60716472,685.30358236
11,102,27.0,1,2,600000,9999998,1,0,3,1,0,1,2,5.5,999999.0,999999.0,999999,1,1,0,6,2,1,5,5,5,5,5,6,0,1,0,3,2,1,3,999999,999999,3,999999,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,300000.0,4999999.0,11,0.0,0.0,0.0,0.0,421.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.924,0.0,0.0,0.0,0.0,0.0,421.848,210.924
12,104,56.66666667,1,3,250000,280000,0,0,5,1,0,2,1,999999.0,999999.0,5.5,999999,1,2,0,4,2,1,5,6,6,6,6,8,7,4,4,2,5,5,999999,999999,3,4,999999,2,4,8,0,0,0,0,0,0,0,0,0,0,2,1,0,83333.33333,93333.33333,12,161.30625,28.630784,272.5511425,37.02354082,1518.0,7.28,8.8576488,107.36544,0.0,208.2569476,53.768750000000004,9.543594666666666,90.85038083333335,12.341180273333334,506.0,2.4266666666666667,2.9525495999999998,35.78848,0.0,69.41898253333333,2349.27175372,783.0905845733333
13,114,41.0,0,3,9999999,8000,0,0,3,1,0,1,1,999999.0,999999.0,2.5,0,1,1,0,5,999999,999999,4,4,4,4,3,5,7,2,4,2,2,1,999999,999999,3,2,999999,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3333333.0,2666.666667,13,27.6525,22.144122,6.71034,14.85886253,350.406,15.84385833,4.026204,44.7356,0.0,208.2569476,9.2175,7.381374,2.23678,4.952954176666666,116.802,5.28128611,1.342068,14.911866666666667,0.0,69.41898253333333,694.63443446,231.54481148666665
14,118,44.5,1,2,35000,60000,1,0,3,0,0,1,0,999999.0,999999.0,2.5,999999,0,0,0,999999,1,0,6,6,6,6,4,5,7,2,999999,999999,0,999999,999999,999999,2,999999,999999,999999,999999,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17500.0,30000.0,14,0.0,0.0,282.3436525,0.0,1437.5,0.0,2.23678,13.42068,0.0,0.0,0.0,0.0,141.17182625,0.0,718.75,0.0,1.11839,6.71034,0.0,0.0,1735.5011124999999,867.7505562499999
15,135,62.66666667,1,3,100000,89100,0,0,3,1,0,1,0,2.5,999999.0,2.5,2,1,0,0,5,1,0,4,4,6,4,2,2,7,4,4,999999,2,999999,1,999999,1,999999,8,2,999999,8,0,0,0,0,0,0,0,0,0,0,2,1,0,33333.33333,29700.0,15,0.0,0.0,873.068870917,25.91647858,0.0,0.0,8.052408,33.5517,0.0,223.1324439,0.0,0.0,291.02295697233336,8.638826193333333,0.0,0.0,2.684136,11.1839,0.0,74.3774813,1163.721901397,387.90730046566665
16,143,55.75,1,4,50000,17000,0,0,1,0,0,1,1,999999.0,999999.0,2.5,999999,1,2,0,4,2,1,999999,5,999999,6,2,4,7,2,4,999999,2,0,999999,999999,3,4,999999,1,2,8,0,0,0,0,0,0,0,0,0,0,3,1,0,12500.0,4250.0,16,50.98429688,14.762748,331.695,0.0,1366.2,0.0,4.026204,0.0,0.0,280.0521301,12.74607422,3.690687,82.92375,0.0,341.55,0.0,1.006551,0.0,0.0,70.013032525,2047.72037898,511.930094745
17,146,47.0,1,3,90000,18200,0,0,3,1,0,1,5,5.5,999999.0,2.5,999999,1,0,0,999999,2,1,6,6,6,6,5,6,0,1,4,3,2,3,3,999999,1,4,999999,0,999999,8,0,0,0,0,0,0,0,0,0,0,2,1,0,30000.0,6066.666667,17,0.0,0.0,0.0,15.9547349,2625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.318244966666667,875.0,0.0,0.0,0.0,0.0,0.0,2640.9547349,880.3182449666666
18,147,69.66666667,0,3,140000,34400,0,0,7,1,0,3,1,999999.0,999999.0,8.5,999999,1,3,0,6,2,1,6,6,6,6,8,8,7,4,4,1,5,4,999999,999999,1,4,999999,1,3,8,0,0,0,0,0,0,0,0,0,0,3,1,0,46666.66667,11466.66667,18,180.05810155999998,98.865676,882.7432249999999,61.62719486,1488.0,0.223678,4.5630312,248.28258,0.0,399.3470634,60.01936718666666,32.95522533333333,294.2477416666666,20.542398286666668,496.0,0.07455933333333332,1.5210104,82.76086,0.0,133.11568780000002,3363.7105500199996,1121.2368500066666
19,158,44.0,0,2,9999999,140000,0,0,5,1,0,1,3,5.5,2.5,5.5,999999,1,2,1,6,2,0,6,6,6,6,999999,7,0,2,999999,3,2,3,2,2,2,4,999999,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4999999.5,70000.0,19,0.0,0.0,0.0,0.0,1116.0,0.0,0.0,0.0,2980.1925,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0.0,0.0,1490.09625,0.0,4096.1925,2048.09625
20,170,41.125,0,8,300000,97000,1,0,3,1,0,1,1,999999.0,999999.0,2.5,999999,1,1,0,999999,2,1,6,6,6,6,7,8,0,1,999999,2,0,5,999999,999999,2,3,999999,2,2,7,0,0,0,0,0,0,0,0,1,1,2,1,1,37500.0,12125.0,20,29.38078125,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,3.67259765625,0.0,0.0,0.0,187.5,0.0,0.0,0.0,0.0,0.0,1529.38078125,191.17259765625
