id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_total,en_total_no_vehicle,prefecture_eng,en_total_percap,region
13936,广东省,汕头市,潮南区,-1,47,2,0,4,1,2,-99,2,4,0,7,-99,4,-99,7,2499999.75,5,-99,2.75,16.875,1,1,22.5,1,1,-99,3333.333,90,1,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,8.94712,217.6218135,31.90946979,0,0,24.157224,0,0,421.20351,703.8391373,703.8391373,Shantou,175.9597843,1
13947,广东省,汕头市,潮南区,-1,52,3,0,4,2,2,-99,2,5,0,7,-99,1,-99,7,9999998,3,-99,2,32.5,2,1.5,22.5,-99,2,3.5,2650,240,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,362.7030225,0,0,0,11.1839,0,0,842.40702,1216.293943,1216.293943,Shantou,1216.293943,1
13951,广东省,广州市,荔湾区,1,64,2,1,5,2,3,5,4,4,0,4,84000,2,52060,7,42000,2,600,3,22.5,1,0.429,37.5,1,1,5.5,3033.333,225,1,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,68.445468,229.21353,14.80941633,0,6.262984,20.13102,87.23442,0,357.63,783.7268383,783.7268383,Guangzhou,391.8634192,1
13953,广东省,广州市,白云区,-1,54,2,1,5,1,-99,-99,2,2,0,4,62400,3,7300,7,20800,1,-99,3,37.5,1,1,22.5,1,1,2.5,2633.333,210,3,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0.420068359,22.815156,331.695,19.14568188,0,7.455933333,63.524552,40.26204,0,214.578,699.4763632,699.8964316,Guangzhou,233.1587877,1
13974,广东省,广州市,天河区,1,20,2,0,5,1,-99,3,4,4,2,6,240000,1,2400,0,240000,0,-99,-99,-99,0,-99,-99,-99,0,3.5,3033.333,225,1,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guangzhou,0,1
14019,广东省,广州市,天河区,-1,58,2,1,4,2,-99,2,2,3,2,5,152000,3,78040,5,50666.66667,3,1050,2.667,20,1,3,22.5,1,1,2.667,2911.111,330,2,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,2.530294118,17.494815,192.48255,15.9547349,0,46.71333333,52.40456,76.6896,0,153.27,555.0095932,557.5398873,Guangzhou,185.0031977,1
14029,广东省,广州市,天河区,1,45,3,1,5,3,-99,2,2,4,2,6,300000,3,108000,7,100000,6,1416.667,1.75,41.25,1,2,22.5,-99,1,5.167,2911.111,480,1,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,475.9898325,25.52757584,25.92421875,9.319916667,20.3994336,55.9195,0,213.4215454,826.5020227,826.5020227,Guangzhou,275.5006742,1
14032,广东省,广州市,荔湾区,1,50,1,1,4,2,-99,2,2,3,2,4,60000,3,20000,7,20000,2,1250,1.5,22.5,1,3,15,1,1,1.333,2666.667,150,2,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0.838018727,15.210104,153.6478125,0,0,0,44.288244,0,0,143.052,356.1981605,357.0361792,Guangzhou,118.7327202,1
14034,广东省,广州市,天河区,-1,28,2,0,5,6,3,5,1,4,2,5,150000,3,49200,7,50000,4,1333.333,1.714,20.625,1,2,15,-99,1,5.5,2666.667,330,3,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,222.1492,14.85886253,0,6.337543333,8.8576488,0,0,143.052,395.2552547,395.2552547,Guangzhou,131.7517516,1
14039,广东省,广州市,白云区,1,35,3,1,5,2,-99,2,3,4,2,6,260000,5,150000,7,52000,5,375,2,54.375,1,2,22.5,-99,1,2.375,2833.333,202.5,4,3,-99,-99,-99,1,2.25,11,8.5,10000,1,1.25,1,11,0,0,0,0,0,1,0,0,0,0,0.57502691,5.368272,390.10608,27.57320425,0,11.4634975,25.051936,44.7356,2023.5875,214.578,2742.46409,719.4516167,Guangzhou,548.4928179,1
