,NumVehicle_codes,TVtime_codes,IF_coupleA,Reno_WindowGlass_codes,IF_existChildren,WindowFrame_codes,GlassType_codes,IF_existElderly,SummerSunshine_codes,NumWaterHeater_list,Reno_OtherHeatInsu_codes,NumTV_list,gender_codes,NumAC_list,IF_single_elderly,IF_singleWithChildren,elderNumber,Weektime_list,percapita_HouseholdEmission,expenditure_percapita,IF_grandparentKids,IF_bigFamily,HouseAge_codes,NumCookingEquip_list,IF_coupleWithChildren,Cookingtime_codes,family_size,IF_couple_elderly,NumPC_list,childrenNumber,NumWashMach_list,IF_singleAE,demographicType,ages_mean,NumDryer_list,income_percapita,expenditure_list,WinterSunshine_codes,IF_singleA,income_list,Reno_WindowGap_codes,Reno_Wall_codes,cluster
2,0,2.0,0,6.0,0,2.0,0.0,1,1.0,0,6.0,1,0,0,1,0,1,7,1638.432340457,18620.0,0,0,4.0,2,0,1.0,1,0,0,0,1,1,5,80.0,0,0.0,18620.0,1.0,0,0,5.0,6.0,0
3,0,4.0,0,5.0,0,2.0,1.0,1,8.0,1,6.0,2,1,1,0,0,2,7,628.6423913149999,10850.0,0,0,5.0,5,0,1.0,2,1,0,0,1,0,6,60.5,0,25000.0,21700.0,7.0,0,50000,3.0,5.0,1
6,0,3.0,0,5.0,0,2.0,1.0,1,5.0,1,6.0,1,1,1,0,0,2,7,1197.657303965,6950.0,0,0,4.0,2,0,4.0,2,1,0,0,1,0,6,71.5,0,15600.0,13900.0,2.0,0,31200,6.0,5.0,0
7,0,2.0,1,5.0,0,2.0,1.0,0,7.0,1,6.0,2,0,2,0,0,0,6,830.598127295,12250.0,0,0,4.0,3,0,1.0,2,0,1,0,1,0,1,43.5,0,25000.0,24500.0,4.0,0,50000,6.0,6.0,1
8,0,2.0,0,6.0,0,2.0,0.0,0,3.0,1,6.0,1,1,1,0,0,0,7,427.969337825,11250.0,0,0,2.0,1,0,1.0,4,0,1,0,1,0,9,36.25,0,20000.0,45000.0,2.0,0,80000,6.0,6.0,0
9,0,2.0,0,5.0,0,0.0,0.0,0,7.0,0,6.0,1,0,0,0,0,0,7,36.99225322,9250.0,0,0,3.0,2,0,1.0,4,0,0,0,1,0,9,39.25,0,12500.0,37000.0,5.0,0,50000,6.0,5.0,0
10,0,4.0,0,5.0,0,2.0,1.0,1,4.0,1,5.0,1,1,1,0,0,2,7,685.30358236,25000.0,0,0,4.0,4,0,2.0,2,1,0,0,1,0,6,69.5,0,25000.0,50000.0,1.0,0,50000,5.0,5.0,1
15,0,2.0,0,4.0,0,1.0,0.0,1,2.0,1,4.0,1,1,0,0,0,2,7,387.90730046566665,29700.0,0,0,5.0,3,0,4.0,3,0,0,0,1,0,8,62.66666667,0,33333.33333,89100.0,2.0,0,100000,4.0,6.0,1
18,0,5.0,0,6.0,0,2.0,1.0,1,8.0,1,6.0,3,0,3,0,0,3,7,1121.2368500066666,11466.66667,0,0,6.0,7,0,4.0,3,0,1,0,1,0,8,69.66666667,0,46666.66667,34400.0,8.0,0,140000,6.0,6.0,1
22,1,1.0,0,6.0,0,0.0,1.0,1,8.0,0,6.0,1,1,3,0,0,2,7,692.72191175,8250.0,0,0,6.0,10,0,3.0,4,0,1,0,1,0,8,47.5,0,45000.0,33000.0,7.0,0,180000,6.0,6.0,1
26,0,3.0,0,5.0,0,2.0,1.0,1,7.0,1,5.0,1,0,1,0,0,2,7,539.989373185,12650.0,0,0,4.0,2,0,1.0,2,1,1,0,1,0,6,56.5,0,25000.0,25300.0,5.0,0,50000,5.0,5.0,1
27,0,3.0,0,6.0,0,2.0,1.0,1,8.0,1,6.0,1,1,2,0,0,2,7,213.3777217785,25000.0,0,0,7.0,1,0,1.0,2,1,0,0,1,0,6,59.5,0,25000.0,50000.0,7.0,0,50000,6.0,6.0,1
28,1,1.0,0,6.0,1,2.0,1.0,1,6.0,1,6.0,1,1,2,0,0,2,7,551.2768571961666,7000.0,0,1,6.0,3,0,2.0,6,0,1,1,1,0,7,33.66666667,0,8333.333333,42000.0,3.0,0,50000,5.0,6.0,0
29,0,5.0,0,0.0,0,1.0,0.0,1,7.0,1,6.0,1,1,2,0,0,2,7,183.79316918,11250.0,0,0,1.0,6,0,2.0,4,0,0,0,1,0,8,46.5,0,12500.0,45000.0,6.0,0,50000,6.0,6.0,0
30,0,5.0,0,2.0,0,0.0,0.0,1,1.0,1,6.0,1,0,2,0,0,1,7,1043.7905283335,15000.0,0,0,5.0,7,0,2.0,2,0,2,0,1,0,10,47.0,0,75000.0,30000.0,4.0,0,150000,2.0,6.0,1
32,0,2.0,0,3.0,0,2.0,1.0,1,7.0,1,4.0,2,1,1,0,0,2,7,488.989373507,15500.0,0,0,6.0,2,0,1.0,2,1,0,0,1,0,6,62.0,0,25000.0,31000.0,4.0,0,50000,4.0,4.0,1
34,0,1.0,0,6.0,1,2.0,1.0,1,4.0,1,6.0,1,1,1,0,0,2,7,381.60474202,5000.0,0,1,6.0,5,0,1.0,6,0,2,2,1,0,7,32.66666667,0,6666.666667,30000.0,4.0,0,40000,6.0,6.0,0
39,0,3.0,0,5.0,0,0.0,0.0,1,5.0,1,6.0,2,0,2,1,0,1,7,1181.86215393,12600.0,0,0,5.0,4,0,1.0,1,0,1,0,1,1,5,55.0,0,25000.0,12600.0,4.0,0,25000,5.0,6.0,1
40,0,4.0,0,5.0,0,2.0,0.0,1,2.0,1,6.0,1,1,2,0,0,2,7,668.8854731724999,2750.0,0,0,5.0,2,0,4.0,4,0,0,0,1,0,8,55.5,0,16500.0,11000.0,2.0,0,66000,5.0,6.0,0
44,1,2.0,0,6.0,0,0.0,1.0,1,2.0,1,6.0,1,0,3,0,0,2,3,2001.22480638,37333.33333,0,0,6.0,4,0,2.0,3,0,3,0,1,0,8,51.33333333,0,50000.0,112000.0,2.0,0,150000,6.0,6.0,1
47,0,4.0,0,6.0,1,2.0,0.0,1,6.0,1,6.0,1,1,2,0,0,4,7,355.7592828124285,2071.428571,0,1,6.0,1,0,0.0,7,0,1,1,1,0,7,53.57142857,0,8571.428571,14500.0,6.0,0,60000,6.0,6.0,0
51,1,4.0,0,5.0,0,2.0,1.0,0,1.0,1,6.0,2,1,2,0,0,0,6,1025.77974879,36666.66667,0,0,4.0,6,0,2.0,3,0,3,0,1,0,9,37.33333333,0,40000.0,110000.0,1.0,0,120000,5.0,5.0,1
52,1,3.0,0,6.0,0,2.0,1.0,1,5.0,1,6.0,2,0,3,0,0,2,7,1056.24811992325,16700.0,0,0,6.0,6,0,4.0,4,0,3,0,1,0,8,44.0,0,62500.0,66800.0,4.0,0,250000,6.0,6.0,1
58,0,3.0,0,4.0,0,2.0,1.0,1,0.0,2,6.0,1,0,2,0,0,5,7,230.9097342525,6250.0,0,1,4.0,6,0,2.0,8,0,2,0,2,0,7,53.75,0,12500.0,50000.0,2.0,0,100000,6.0,5.0,0
60,0,5.0,0,5.0,0,1.0,0.0,1,5.0,1,6.0,2,0,1,0,0,2,7,1092.56840631,20000.0,0,0,1.0,2,0,3.0,2,1,2,0,2,0,6,63.5,0,25000.0,40000.0,5.0,0,50000,5.0,6.0,1
61,1,5.0,0,5.0,0,2.0,1.0,1,8.0,1,5.0,1,1,1,0,0,2,7,1005.9689781666666,8800.666667,0,0,4.0,4,0,4.0,3,0,0,0,1,0,8,53.0,0,24000.0,26402.0,4.0,0,72000,5.0,5.0,1
62,0,0.0,1,6.0,0,1.0,0.0,0,5.0,0,6.0,1,1,1,0,0,0,7,695.2453639025,15000.0,0,0,5.0,3,0,2.0,2,0,1,0,0,0,1,35.0,0,40000.0,30000.0,3.0,0,80000,6.0,6.0,1
64,0,2.0,1,5.0,0,2.0,1.0,0,6.0,1,5.0,1,1,1,0,0,0,7,689.551319795,20500.0,0,0,5.0,3,0,2.0,2,0,2,0,1,0,1,52.5,0,45000.0,41000.0,4.0,0,90000,5.0,5.0,1
65,1,0.0,0,6.0,0,0.0,1.0,0,0.0,1,6.0,2,0,0,0,0,0,7,910.77265206,16250.0,0,0,5.0,5,0,1.0,2,0,1,0,1,0,11,35.0,0,22500.0,32500.0,0.0,0,45000,6.0,6.0,0
68,1,3.0,0,5.0,0,2.0,1.0,0,3.0,1,6.0,2,1,4,0,0,0,7,1373.035182,14750.0,0,0,6.0,5,0,2.0,2,0,2,0,1,0,11,30.5,0,7500.0,29500.0,3.0,0,15000,5.0,6.0,0
69,1,1.0,0,6.0,0,2.0,1.0,0,4.0,1,6.0,1,0,2,0,0,0,7,1044.6361130425,8250.0,0,0,5.0,5,0,3.0,4,0,1,0,1,0,9,40.25,0,12500.0,33000.0,6.0,0,50000,6.0,6.0,0
71,0,2.0,0,1.0,0,3.0,0.0,1,2.0,0,6.0,1,0,0,0,0,2,7,96.930244185,8150.0,0,0,2.0,2,0,1.0,2,1,0,0,1,0,6,62.5,0,35000.0,16300.0,2.0,0,70000,1.0,6.0,1
72,0,3.0,0,5.0,0,2.0,1.0,1,8.0,1,6.0,1,1,2,0,0,2,7,543.8280766786667,11800.0,0,0,4.0,4,0,2.0,3,0,1,0,1,0,8,56.0,0,40000.0,35400.0,7.0,0,120000,5.0,5.0,1
73,0,3.0,0,6.0,0,3.0,1.0,1,2.0,1,6.0,2,0,1,0,0,2,7,1270.631254595,15325.0,0,0,5.0,4,0,3.0,2,1,0,0,1,0,6,66.5,0,36000.0,30650.0,0.0,0,72000,6.0,6.0,1
77,0,4.0,0,5.0,0,3.0,1.0,1,6.0,1,5.0,1,0,1,0,0,1,7,410.3835422,7066.666667,0,0,5.0,3,0,1.0,3,0,1,0,1,0,8,46.33333333,1,12000.0,21200.0,4.0,0,36000,5.0,4.0,0
78,0,2.0,0,6.0,0,2.0,1.0,0,0.0,1,6.0,1,0,1,0,0,0,7,605.9416345323333,20000.0,0,0,6.0,6,0,1.0,3,0,1,0,1,0,9,43.0,0,66666.66667,60000.0,0.0,0,200000,6.0,6.0,1
79,0,3.0,0,4.0,0,3.0,0.0,1,7.0,0,6.0,1,0,1,0,0,2,7,368.5339601165,13000.0,0,0,5.0,4,0,2.0,2,1,0,0,1,0,6,63.5,0,39600.0,26000.0,6.0,0,79200,4.0,4.0,1
80,1,0.0,0,6.0,0,0.0,1.0,0,8.0,1,6.0,3,0,4,0,0,0,7,1037.0503165156667,16666.66667,0,0,6.0,7,0,2.0,3,0,2,0,1,0,9,44.33333333,0,33333.33333,50000.0,7.0,0,100000,6.0,5.0,1
81,1,4.0,0,6.0,0,2.0,1.0,1,5.0,1,6.0,1,0,3,0,0,2,7,2285.197887135,20000.0,0,0,0.0,4,0,1.0,2,1,1,0,1,0,6,60.5,0,35000.0,40000.0,4.0,0,70000,6.0,6.0,1
82,0,3.0,0,6.0,0,2.0,1.0,1,8.0,0,6.0,2,0,3,0,0,2,7,275.219981895,19500.0,0,0,6.0,4,0,2.0,2,1,1,0,1,0,6,57.0,0,5000.0,39000.0,7.0,0,10000,6.0,5.0,0
91,0,4.0,0,6.0,0,2.0,0.0,1,7.0,1,6.0,2,0,1,1,0,1,7,628.13475669,32400.0,0,0,1.0,3,0,1.0,1,0,0,0,1,1,5,80.0,0,42000.0,32400.0,4.0,0,42000,6.0,6.0,1
92,1,3.0,0,4.0,0,0.0,0.0,1,4.0,1,6.0,1,1,3,0,0,2,7,331.66791851325,23750.0,0,0,4.0,3,0,2.0,4,0,1,0,1,0,8,54.0,0,25000.0,95000.0,3.0,0,100000,4.0,6.0,1
94,1,0.0,0,6.0,1,2.0,1.0,0,6.0,1,6.0,2,1,3,0,0,0,7,895.4209030156666,36666.66667,0,0,6.0,6,1,1.0,3,0,3,1,1,0,2,26.33333333,0,66666.66667,110000.0,5.0,0,200000,6.0,6.0,1
95,0,2.0,0,2.0,1,2.0,0.0,1,7.0,1,6.0,2,0,1,0,0,2,7,280.5118670526,3380.0,0,1,4.0,1,0,2.0,5,0,0,1,1,0,7,44.0,0,10000.0,16900.0,5.0,0,50000,2.0,6.0,0
97,0,3.0,0,5.0,0,2.0,1.0,1,0.0,0,5.0,1,0,1,0,0,1,7,304.64642618233336,10466.66667,0,0,2.0,6,0,4.0,3,0,0,0,1,0,8,44.33333333,0,10000.0,31400.0,2.0,0,30000,5.0,5.0,0
98,0,4.0,0,6.0,0,3.0,1.0,0,4.0,1,6.0,1,1,1,0,0,0,7,613.3253893510001,16586.66667,0,0,6.0,5,0,1.0,3,0,1,0,1,0,9,44.0,0,46666.66667,49760.0,2.0,0,140000,6.0,6.0,1
99,1,2.0,0,5.0,0,0.0,1.0,1,5.0,1,6.0,2,0,4,0,0,1,7,508.98327240925,8300.0,0,0,6.0,10,0,1.0,4,0,2,0,1,0,8,40.0,0,25000.0,33200.0,3.0,0,100000,5.0,6.0,1
100,0,3.0,0,5.0,0,2.0,0.0,1,3.0,1,5.0,1,0,1,0,0,2,7,561.6830598975,12500.0,0,0,4.0,8,0,2.0,4,0,2,0,1,0,8,44.5,0,62500.0,50000.0,2.0,0,250000,5.0,6.0,1
102,0,2.0,1,5.0,0,1.0,0.0,0,8.0,0,6.0,1,1,1,0,0,0,7,902.371350725,32500.0,0,0,4.0,4,0,2.0,2,0,0,0,1,0,1,52.0,0,30000.0,65000.0,8.0,0,60000,5.0,6.0,1
105,0,1.0,0,2.0,0,2.0,1.0,1,4.0,1,6.0,1,1,3,0,0,2,7,1079.1135894349998,23100.0,0,0,4.0,8,0,1.0,2,1,1,0,1,0,6,73.0,0,35000.0,46200.0,3.0,0,70000,2.0,6.0,1
106,0,4.0,0,5.0,1,2.0,1.0,1,0.0,1,6.0,2,0,3,0,0,1,7,367.20493664,6536.4,0,1,6.0,6,0,1.0,5,0,1,1,0,0,7,35.4,0,15000.0,32682.0,0.0,0,75000,5.0,6.0,0
109,0,4.0,0,5.0,0,2.0,1.0,1,4.0,1,6.0,1,0,1,0,0,2,7,817.8196454833333,9333.333333,0,0,4.0,1,0,4.0,3,0,0,0,1,0,8,58.66666667,0,13333.33333,28000.0,3.0,0,40000,5.0,5.0,0
111,0,4.0,0,5.0,0,2.0,1.0,1,7.0,1,6.0,1,1,3,0,0,1,7,608.32457971,37500.0,0,0,6.0,1,0,4.0,2,0,1,0,1,0,10,63.0,0,20000.0,75000.0,4.0,0,40000,6.0,6.0,0
115,0,4.0,0,5.0,0,2.0,1.0,1,0.0,1,5.0,1,1,1,0,0,1,7,424.970392905,30000.0,0,0,2.0,2,0,2.0,2,0,1,0,1,0,10,44.5,0,30000.0,60000.0,1.0,0,60000,5.0,6.0,1
117,0,1.0,0,5.0,1,2.0,1.0,1,4.0,1,5.0,1,0,1,0,0,1,7,107.69345200075,1000.0,0,0,1.0,2,0,1.0,4,0,0,1,1,0,8,30.25,0,1500.0,4000.0,2.0,0,6000,5.0,5.0,0
118,0,3.0,0,3.0,0,2.0,0.0,1,6.0,1,6.0,1,1,2,0,0,2,7,1079.40128113,20000.0,0,0,4.0,7,0,2.0,3,0,1,0,1,0,8,76.33333333,0,50000.0,60000.0,4.0,0,150000,5.0,6.0,1
120,0,1.0,0,3.0,0,2.0,1.0,1,0.0,1,6.0,1,1,1,0,0,2,7,770.72206609,25000.0,0,0,4.0,1,0,3.0,2,1,0,0,1,0,6,68.0,0,20000.0,50000.0,2.0,0,40000,3.0,5.0,0
124,1,4.0,0,3.0,1,0.0,0.0,1,5.0,1,6.0,3,0,1,0,0,2,7,967.9058559266668,14666.66667,1,0,4.0,5,0,3.0,3,0,1,1,1,0,4,47.0,0,40000.0,44000.0,6.0,0,120000,6.0,6.0,1
126,0,5.0,0,6.0,1,2.0,1.0,1,8.0,1,6.0,2,1,4,0,0,2,7,1301.7822652924997,10000.0,0,1,6.0,2,0,4.0,8,0,1,1,1,0,7,38.25,0,2500.0,80000.0,8.0,0,20000,6.0,6.0,0
128,1,4.0,0,6.0,0,2.0,1.0,1,6.0,1,6.0,1,1,4,0,0,2,7,901.28226598,7120.0,0,1,6.0,7,0,1.0,5,0,2,0,1,0,7,53.6,0,20000.0,35600.0,5.0,0,100000,6.0,6.0,0
129,0,3.0,0,6.0,0,2.0,1.0,1,4.0,1,6.0,1,0,2,0,0,1,5,727.6647681310001,16666.66667,0,0,6.0,5,0,3.0,3,0,1,0,1,0,8,46.33333333,0,23333.33333,50000.0,3.0,0,70000,6.0,6.0,1
130,0,4.0,0,6.0,0,2.0,0.0,1,1.0,1,6.0,1,0,1,0,0,2,0,200.035176915,13400.0,0,0,4.0,1,0,2.0,2,1,1,0,1,0,6,63.5,0,28500.0,26800.0,5.0,0,57000,6.0,6.0,1
133,0,3.0,0,5.0,0,2.0,1.0,0,5.0,1,5.0,1,1,2,0,0,0,7,596.48940592,15000.0,0,0,4.0,5,0,1.0,2,0,1,0,1,0,11,33.5,0,35000.0,30000.0,3.0,0,70000,5.0,5.0,1
134,0,2.0,0,3.0,0,2.0,0.0,1,6.0,1,3.0,2,1,1,0,0,2,7,361.60283624,5500.0,0,0,6.0,3,0,2.0,3,0,1,0,1,0,8,66.66666667,0,30000.0,16500.0,5.0,0,90000,3.0,4.0,1
138,0,3.0,0,3.0,0,0.0,0.0,1,5.0,1,6.0,1,1,2,0,0,3,7,585.5431341770001,380.0,0,1,1.0,1,0,0.0,5,0,1,0,1,0,7,60.6,0,16000.0,1900.0,5.0,0,80000,3.0,6.0,0
139,0,1.0,0,5.0,0,0.0,1.0,0,8.0,1,5.0,2,0,2,0,0,0,7,512.5578671965,22500.0,0,0,4.0,6,0,2.0,2,0,2,0,1,0,11,37.0,0,30000.0,45000.0,2.0,0,60000,5.0,5.0,1
142,1,4.0,0,6.0,1,0.0,1.0,0,8.0,1,6.0,1,0,4,0,0,0,7,1484.913518724,10000.0,0,0,6.0,2,1,3.0,3,0,1,1,1,0,2,20.66666667,0,16666.66667,30000.0,8.0,0,50000,6.0,6.0,0
146,0,3.0,0,6.0,0,2.0,0.0,0,7.0,1,6.0,1,0,2,0,0,0,7,707.2947657586668,21000.0,0,0,6.0,4,0,2.0,3,0,0,0,1,0,9,40.33333333,0,26666.66667,63000.0,6.0,0,80000,6.0,6.0,1
147,0,3.0,0,6.0,0,2.0,1.0,1,4.0,1,6.0,3,1,5,0,0,3,7,928.0651180943332,2666.666667,0,0,6.0,5,0,2.0,3,0,1,0,1,0,8,73.33333333,0,15333.33333,8000.0,3.0,0,46000,6.0,6.0,0
148,0,2.0,0,4.0,1,0.0,1.0,1,7.0,1,6.0,2,0,2,0,0,2,7,225.207563415,10000.0,0,1,6.0,5,0,2.0,6,0,3,2,1,0,7,32.83333333,0,13333.33333,60000.0,6.0,0,80000,6.0,6.0,0
152,0,1.0,0,6.0,1,3.0,0.0,1,2.0,1,6.0,1,1,0,0,0,1,7,156.99583144444443,7533.333333,0,1,6.0,3,0,0.0,9,0,1,2,0,0,7,33.55555556,0,0.0,67800.0,1.0,0,0,6.0,6.0,0
154,0,0.0,0,6.0,0,2.0,1.0,1,6.0,1,6.0,2,0,3,0,0,2,7,354.9253770885,28550.0,0,0,6.0,7,0,1.0,2,1,1,0,2,0,6,73.0,0,45000.0,57100.0,6.0,0,90000,6.0,6.0,1
155,1,2.0,0,4.0,0,0.0,0.0,1,4.0,0,6.0,1,1,2,0,0,2,7,2353.1339063565,25250.0,0,0,3.0,4,0,2.0,2,1,1,0,1,0,6,57.5,0,50000.0,50500.0,6.0,0,100000,6.0,6.0,1
156,0,3.0,0,5.0,1,0.0,0.0,0,7.0,1,5.0,1,0,1,0,0,0,7,323.7763409983333,7333.333333,0,0,5.0,2,1,1.0,3,0,1,1,1,0,2,30.66666667,0,33333.33333,22000.0,5.0,0,100000,5.0,6.0,1
157,0,3.0,0,6.0,1,2.0,1.0,1,5.0,1,6.0,1,1,1,0,0,2,7,556.945172826,10000.0,0,1,6.0,1,0,1.0,5,0,0,1,0,0,7,37.4,0,10000.0,50000.0,4.0,0,50000,6.0,6.0,0
160,0,4.0,0,6.0,1,2.0,1.0,1,8.0,1,6.0,1,1,1,0,0,1,7,682.7306909024999,7375.0,0,0,6.0,6,0,4.0,4,0,0,1,1,0,8,44.25,0,25000.0,29500.0,6.0,0,100000,6.0,5.0,1
165,0,4.0,0,5.0,0,2.0,1.0,1,6.0,1,6.0,2,0,1,0,0,1,7,463.9354872233334,5266.666667,0,0,5.0,4,0,3.0,3,0,0,0,1,0,8,58.66666667,0,12000.0,15800.0,5.0,0,36000,6.0,5.0,0
166,1,1.0,0,5.0,0,2.0,1.0,0,0.0,1,6.0,1,0,2,0,0,0,7,739.6964464016668,16666.66667,0,0,4.0,6,0,3.0,3,0,2,0,1,0,9,38.0,0,33333.33333,50000.0,0.0,0,100000,5.0,6.0,1
170,1,3.0,0,6.0,0,2.0,1.0,0,3.0,0,5.0,1,1,2,0,0,0,7,61.55569588424999,5000.0,0,0,6.0,2,0,1.0,4,0,1,0,1,0,9,40.75,0,20000.0,20000.0,1.0,0,80000,6.0,6.0,0
174,1,2.0,0,5.0,0,2.0,1.0,1,3.0,1,6.0,2,0,4,0,0,2,7,933.059733785,29500.0,0,0,5.0,1,0,4.0,2,1,2,0,1,0,6,61.0,0,50000.0,59000.0,3.0,0,100000,6.0,5.0,1
177,0,3.0,0,5.0,0,2.0,1.0,1,0.0,1,5.0,2,1,2,0,0,1,7,438.1259979666667,30000.0,0,0,4.0,3,0,1.0,3,0,2,0,1,0,8,40.33333333,0,20000.0,90000.0,2.0,0,60000,5.0,5.0,0
179,0,3.0,0,6.0,0,0.0,1.0,1,7.0,0,6.0,1,0,1,0,0,2,7,250.110324265,37500.0,0,0,4.0,2,0,2.0,2,1,0,0,1,0,6,80.5,0,39000.0,75000.0,6.0,0,78000,6.0,6.0,1
180,0,1.0,0,5.0,0,2.0,1.0,1,3.0,1,6.0,1,1,1,0,0,2,7,268.1094502575,10000.0,0,0,5.0,3,0,2.0,4,0,1,0,1,0,8,45.75,0,50000.0,40000.0,3.0,0,200000,5.0,5.0,1
182,0,3.0,0,5.0,0,2.0,1.0,0,2.0,1,5.0,2,0,1,0,0,0,7,1750.0933227492503,2075.0,0,0,2.0,8,0,2.0,4,0,3,0,1,0,9,43.5,0,25000.0,8300.0,1.0,0,100000,5.0,5.0,1
186,0,5.0,0,5.0,0,2.0,1.0,1,5.0,1,6.0,1,0,1,0,0,2,7,174.6760414,7500.0,0,0,4.0,1,0,0.0,4,0,1,0,1,0,8,68.75,0,15000.0,30000.0,3.0,0,60000,5.0,5.0,0
187,0,0.0,0,5.0,1,2.0,1.0,1,5.0,1,6.0,2,0,1,0,0,2,7,605.5319818633333,23866.66667,1,0,5.0,6,0,4.0,3,0,1,1,1,0,4,47.0,0,26400.0,71600.0,4.0,0,79200,6.0,5.0,1
189,1,1.0,1,5.0,0,2.0,1.0,0,3.0,1,6.0,1,0,1,0,0,0,7,1979.837661165,37500.0,0,0,4.0,5,0,1.0,2,0,1,0,1,0,1,41.5,0,50000.0,75000.0,1.0,0,100000,5.0,5.0,1
190,0,2.0,0,5.0,0,2.0,1.0,1,7.0,1,5.0,1,0,2,0,0,2,6,411.2692820943333,36666.66667,0,0,4.0,3,0,1.0,3,0,1,0,1,0,8,47.66666667,0,33333.33333,110000.0,5.0,0,100000,5.0,5.0,1
193,0,0.0,0,5.0,0,2.0,1.0,1,2.0,1,5.0,2,0,2,0,0,3,7,171.79982973333333,8333.333333,0,1,4.0,2,0,1.0,6,0,2,0,1,0,7,63.33333333,0,16666.66667,50000.0,1.0,0,100000,5.0,5.0,0
196,0,5.0,0,5.0,0,2.0,0.0,1,1.0,1,5.0,1,0,2,1,0,1,7,951.82719586,30000.0,0,0,4.0,3,0,0.0,1,0,1,0,0,1,5,75.0,0,30000.0,30000.0,1.0,0,30000,5.0,5.0,1
197,0,4.0,0,6.0,1,0.0,1.0,1,3.0,1,6.0,1,0,1,0,0,2,7,457.0658457683334,13333.33333,1,0,5.0,3,0,1.0,3,0,0,1,1,0,4,39.66666667,0,18466.66667,40000.0,2.0,0,55400,6.0,6.0,0
198,0,2.0,0,2.0,0,0.0,1.0,0,5.0,1,2.0,1,1,0,0,0,0,7,439.77120571000006,10000.0,0,0,4.0,3,0,2.0,3,0,1,0,1,0,9,39.33333333,0,36666.66667,30000.0,3.0,0,110000,2.0,6.0,1
199,0,2.0,0,6.0,0,0.0,0.0,1,8.0,1,6.0,1,0,2,0,0,1,7,393.307233041,10000.0,0,0,4.0,3,0,3.0,3,0,1,0,1,0,8,44.33333333,0,20000.0,30000.0,4.0,0,60000,6.0,6.0,0
200,1,3.0,0,5.0,0,0.0,1.0,1,4.0,1,6.0,1,0,1,0,0,2,7,230.564872665,15000.0,0,0,4.0,5,0,0.0,4,0,0,0,1,0,8,44.25,0,17500.0,60000.0,2.0,0,70000,5.0,6.0,0
201,0,0.0,0,3.0,0,0.0,0.0,1,0.0,1,6.0,1,0,1,0,0,2,7,92.06331233716668,3333.333333,0,1,4.0,1,0,2.0,6,0,0,0,1,0,7,47.66666667,0,5000.0,20000.0,0.0,0,30000,3.0,6.0,0
202,0,3.0,0,6.0,0,0.0,1.0,1,2.0,0,6.0,1,1,1,1,0,1,7,1404.98858825,22000.0,0,0,5.0,5,0,0.0,1,0,0,0,0,1,5,66.0,0,20000.0,22000.0,1.0,0,20000,6.0,6.0,0
205,1,5.0,0,3.0,1,2.0,1.0,0,8.0,1,6.0,1,1,3,0,0,0,7,1825.0333196833333,13333.33333,0,0,5.0,6,1,0.0,3,0,2,1,1,0,2,34.33333333,0,40000.0,40000.0,7.0,0,120000,3.0,6.0,1
206,0,3.0,0,5.0,1,0.0,1.0,1,4.0,1,6.0,1,1,1,0,0,1,7,266.64847246925,8750.0,0,0,4.0,4,0,1.0,4,0,0,1,1,0,8,34.75,0,7980.0,35000.0,2.0,0,31920,5.0,6.0,0
207,0,3.0,0,6.0,0,1.0,1.0,1,2.0,1,6.0,1,0,1,0,0,1,7,737.18228464,15000.0,0,0,1.0,2,0,2.0,2,0,1,0,1,0,10,55.0,0,15000.0,30000.0,2.0,0,30000,6.0,6.0,0
208,1,2.0,0,6.0,0,0.0,1.0,0,2.0,1,6.0,1,0,2,0,0,0,7,1803.619651817,19666.66667,0,0,6.0,3,0,0.0,3,0,1,0,0,0,9,40.66666667,0,66666.66667,59000.0,5.0,0,200000,6.0,6.0,1
211,0,3.0,0,3.0,0,0.0,1.0,0,3.0,1,6.0,1,0,0,0,0,0,7,494.2202111656666,6666.666667,0,0,4.0,3,0,0.0,3,0,0,0,1,0,9,44.33333333,0,12400.0,20000.0,2.0,0,37200,3.0,6.0,0
212,0,3.0,0,5.0,1,0.0,1.0,1,5.0,1,5.0,1,1,4,0,0,1,7,433.1862830282501,12500.0,0,0,6.0,1,0,1.0,4,0,2,1,2,0,8,40.25,0,30000.0,50000.0,3.0,0,120000,5.0,5.0,1
213,0,3.0,0,5.0,1,2.0,0.0,0,2.0,1,6.0,1,0,1,0,0,0,7,769.1570324999999,10000.0,0,0,6.0,2,1,3.0,3,0,0,1,1,0,2,33.33333333,0,12800.0,30000.0,1.0,0,38400,6.0,6.0,0
214,0,2.0,0,4.0,0,0.0,1.0,1,4.0,1,6.0,1,0,1,0,0,1,7,772.4384053465001,17500.0,0,0,4.0,4,0,0.0,2,0,1,0,1,0,10,43.0,0,17500.0,35000.0,3.0,0,35000,6.0,6.0,0
216,0,4.0,0,6.0,1,2.0,0.0,1,7.0,1,4.0,2,1,1,0,0,2,7,270.90380217333336,16666.66667,1,0,5.0,4,0,1.0,3,0,0,1,1,0,4,43.66666667,0,20000.0,50000.0,5.0,0,60000,3.0,3.0,0
218,0,4.0,0,6.0,1,0.0,1.0,1,4.0,1,6.0,2,0,2,0,0,2,7,672.0602337233333,9666.666667,1,0,6.0,6,0,1.0,3,0,2,1,1,0,4,50.0,0,25666.66667,29000.0,3.0,0,77000,6.0,6.0,1
