,NumVehicle_codes,TVtime_codes,IF_coupleA,Reno_WindowGlass_codes,IF_existChildren,WindowFrame_codes,GlassType_codes,IF_existElderly,SummerSunshine_codes,NumWaterHeater_list,Reno_OtherHeatInsu_codes,NumTV_list,gender_codes,NumAC_list,IF_single_elderly,IF_singleWithChildren,elderNumber,Weektime_list,percapita_HouseholdEmission,expenditure_percapita,IF_grandparentKids,IF_bigFamily,HouseAge_codes,NumCookingEquip_list,IF_coupleWithChildren,Cookingtime_codes,family_size,IF_couple_elderly,NumPC_list,childrenNumber,NumWashMach_list,IF_singleAE,demographicType,ages_mean,NumDryer_list,income_percapita,expenditure_list,WinterSunshine_codes,IF_singleA,income_list,Reno_WindowGap_codes,Reno_Wall_codes,cluster
2435,0,3.0,0,6.0,1,0.0,0.0,1,4.0,0,6.0,1,0,0,0,0,1,7,523.3311273447142,6000.0,0,1,7.0,3,0,1.0,7,0,0,1,1,0,7,30.57142857,0,17142.85714,42000.0,3.0,0,120000,6.0,6.0,0
2437,1,3.0,0,5.0,0,0.0,0.0,0,8.0,1,5.0,2,1,1,0,0,0,3,1638.6526996325,4000.0,0,0,4.0,1,0,2.0,4,0,1,0,1,0,9,39.25,0,2000.0,16000.0,7.0,0,8000,6.0,5.0,0
2438,0,0.0,0,6.0,1,0.0,0.0,1,8.0,1,6.0,1,1,1,0,0,1,7,417.170695355,1250.0,0,0,5.0,4,0,1.0,4,0,0,1,1,0,8,30.25,0,15000.0,5000.0,4.0,0,60000,6.0,6.0,0
2440,1,2.0,0,6.0,1,0.0,0.0,1,3.0,1,6.0,1,0,1,0,0,1,7,911.2894655225,7375.0,0,0,7.0,1,1,3.0,4,0,1,1,1,0,2,44.0,0,22500.0,29500.0,2.0,0,90000,6.0,5.0,0
2441,1,2.0,0,3.0,0,0.0,1.0,1,7.0,0,6.0,2,1,2,0,0,2,7,1243.3121036574,7100.0,0,1,6.0,3,0,2.0,5,0,1,0,1,0,7,50.6,0,20000.0,35500.0,5.0,0,100000,6.0,6.0,0
2442,0,2.0,0,6.0,1,1.0,0.0,1,4.0,1,6.0,1,0,0,0,0,2,7,326.761887788,8000.0,0,1,5.0,2,0,2.0,5,0,1,1,1,0,7,46.4,0,10000.0,40000.0,2.0,0,50000,6.0,6.0,0
2443,0,0.0,0,6.0,0,1.0,0.0,1,7.0,0,6.0,1,1,0,0,0,1,7,512.9510162500001,1225.0,0,0,2.0,1,0,2.0,4,0,0,0,0,0,8,40.25,0,20000.0,4900.0,4.0,0,80000,6.0,6.0,0
2444,1,3.0,0,6.0,0,0.0,0.0,1,8.0,1,6.0,2,0,2,0,0,2,7,227.77145847059995,6000.0,0,1,5.0,5,0,1.0,5,0,1,0,1,0,7,40.8,0,2000.0,30000.0,3.0,0,10000,6.0,5.0,0
2447,0,3.0,0,2.0,0,1.0,0.0,1,7.0,0,6.0,1,0,1,0,0,3,7,439.1461077534001,4000.0,0,1,2.0,2,0,0.0,5,0,1,0,0,0,7,61.6,0,12000.0,20000.0,5.0,0,60000,6.0,6.0,0
2448,0,0.0,0,6.0,0,1.0,0.0,1,8.0,1,6.0,1,0,1,1,0,1,7,2419.555007522,13100.0,0,0,3.0,2,0,1.0,1,0,0,0,1,1,5,77.0,0,30000.0,13100.0,5.0,0,30000,6.0,6.0,1
2449,0,1.0,0,3.0,1,1.0,0.0,0,6.0,0,6.0,1,1,0,0,1,0,7,795.0941515,2600.0,0,0,4.0,1,0,1.0,2,0,0,1,0,0,3,33.0,0,7500.0,5200.0,3.0,0,15000,6.0,6.0,0
2450,0,3.0,0,4.0,1,0.0,0.0,0,8.0,1,6.0,1,0,1,0,0,0,7,776.3657169223334,10000.0,0,0,5.0,4,1,0.0,3,0,1,1,1,0,2,31.66666667,0,22222.0,30000.0,3.0,0,66666,6.0,6.0,0
2452,0,2.0,0,6.0,0,1.0,3.0,0,8.0,0,6.0,1,1,0,0,0,0,7,278.75061723,11000.0,0,0,0.0,2,0,2.0,1,0,0,0,1,1,0,43.0,0,7000.0,11000.0,7.0,1,7000,0.0,0.0,0
2453,0,3.0,0,1.0,0,1.0,0.0,0,8.0,1,6.0,1,1,1,0,0,0,7,628.8504995013333,2000.0,0,0,4.0,3,0,1.0,3,0,0,0,0,0,9,42.0,1,11666.66667,6000.0,6.0,0,35000,6.0,6.0,0
2454,0,2.0,0,6.0,0,1.0,0.0,1,6.0,0,6.0,1,1,0,0,0,5,7,106.27071790536364,1145.454545,0,1,6.0,1,0,0.0,11,0,0,0,0,0,7,45.18181818,0,1272.727273,12600.0,4.0,0,14000,6.0,6.0,0
2457,0,2.0,0,6.0,0,1.0,3.0,0,8.0,0,6.0,1,0,0,0,0,0,7,551.721933189,6666.666667,0,0,4.0,2,0,1.0,3,0,0,0,1,0,9,43.66666667,0,6666.666667,20000.0,6.0,0,20000,6.0,6.0,0
2458,0,2.0,0,5.0,0,1.0,0.0,1,8.0,0,6.0,1,1,0,0,0,1,7,417.265856039,1225.0,0,0,4.0,3,0,0.0,4,0,0,0,1,0,8,37.25,0,3750.0,4900.0,8.0,0,15000,6.0,6.0,0
2459,1,3.0,1,6.0,0,0.0,1.0,0,8.0,1,6.0,1,0,2,0,0,0,7,1156.026530815,30750.0,0,0,5.0,2,0,1.0,2,0,1,0,1,0,1,48.0,0,30000.0,61500.0,8.0,0,60000,6.0,6.0,1
2460,0,1.0,0,6.0,0,2.0,1.0,1,8.0,0,6.0,1,1,0,0,0,2,7,444.1785254433333,6666.666667,0,0,6.0,2,0,1.0,3,0,0,0,0,0,8,47.0,0,6666.666667,20000.0,8.0,0,20000,6.0,6.0,0
2462,0,2.0,0,6.0,0,1.0,1.0,0,8.0,0,6.0,1,1,0,0,0,0,7,385.7757025,12500.0,0,0,4.0,2,0,2.0,4,0,0,0,0,0,9,36.75,0,22500.0,50000.0,8.0,0,90000,6.0,6.0,0
2463,1,3.0,0,6.0,1,0.0,0.0,1,7.0,1,6.0,1,0,1,0,0,2,7,301.47162037259994,6100.0,0,1,6.0,3,0,2.0,5,0,1,1,1,0,7,36.8,0,20000.0,30500.0,3.0,0,100000,6.0,6.0,0
2464,0,2.0,0,4.0,1,2.0,0.0,1,0.0,0,6.0,1,0,0,0,0,1,7,306.260820105,2475.0,0,0,5.0,3,0,3.0,4,0,0,1,1,0,8,32.25,0,12500.0,9900.0,0.0,0,50000,4.0,6.0,0
2467,0,2.0,0,6.0,0,2.0,1.0,1,7.0,0,6.0,1,0,1,0,0,2,7,728.3630486855,22500.0,0,0,6.0,2,0,1.0,2,1,0,0,1,0,6,79.0,0,25000.0,45000.0,6.0,0,50000,6.0,6.0,1
2469,1,3.0,0,3.0,0,0.0,0.0,1,6.0,1,3.0,1,0,1,0,0,2,7,477.84673874980007,4000.0,0,1,6.0,4,0,1.0,5,0,0,0,1,0,7,48.4,0,16000.0,20000.0,4.0,0,80000,6.0,6.0,0
2470,0,2.0,0,5.0,1,0.0,0.0,1,5.0,0,6.0,2,0,0,0,0,1,7,272.947827394,1375.0,0,0,7.0,5,0,1.0,4,0,1,1,1,0,8,36.0,0,6250.0,5500.0,5.0,0,25000,5.0,6.0,0
2472,1,2.0,0,6.0,0,0.0,0.0,1,8.0,1,6.0,1,0,1,0,0,1,7,398.8925002445,12500.0,0,0,6.0,3,0,1.0,4,0,0,0,1,0,8,48.5,0,7500.0,50000.0,7.0,0,30000,6.0,6.0,0
2473,0,2.0,0,4.0,1,0.0,0.0,1,8.0,1,6.0,2,1,1,0,0,2,7,317.2947851999999,4000.0,0,1,6.0,2,0,1.0,5,0,2,1,1,0,7,38.6,0,5000.0,20000.0,8.0,0,25000,4.0,6.0,0
2474,0,2.0,0,6.0,0,1.0,0.0,1,7.0,0,6.0,1,0,0,0,0,2,7,181.507286375,1800.0,0,1,5.0,1,0,2.0,8,0,0,0,0,0,7,43.75,0,10000.0,14400.0,4.0,0,80000,6.0,6.0,0
2475,0,4.0,0,6.0,0,2.0,0.0,0,3.0,1,6.0,1,0,1,0,0,0,6,1991.999235,7000.0,0,0,6.0,3,0,4.0,1,0,0,0,1,1,0,50.0,0,30000.0,7000.0,1.0,1,30000,6.0,6.0,1
2477,1,3.0,0,4.0,0,0.0,0.0,0,8.0,1,6.0,1,0,0,0,0,0,7,275.6551303,5000.0,0,0,7.0,2,0,1.0,2,0,0,0,1,0,11,42.5,0,20000.0,10000.0,5.0,0,40000,4.0,6.0,0
2479,0,4.0,0,6.0,1,0.0,0.0,1,8.0,0,6.0,2,0,1,0,0,1,7,448.3717165094,1400.0,0,1,5.0,2,0,3.0,5,0,0,1,1,0,7,33.4,0,2600.0,7000.0,5.0,0,13000,6.0,6.0,0
2481,1,2.0,0,5.0,0,0.0,0.0,0,4.0,1,6.0,2,1,1,0,0,0,7,383.44360444466673,6666.666667,0,0,5.0,3,0,1.0,3,0,1,0,1,0,9,41.66666667,0,11666.66667,20000.0,3.0,0,35000,5.0,6.0,0
2482,0,1.0,0,6.0,0,1.0,0.0,1,8.0,1,6.0,1,1,0,0,0,1,7,328.237043158,3000.0,0,1,5.0,3,0,2.0,5,0,1,0,1,0,7,38.8,0,4000.0,15000.0,6.0,0,20000,3.0,6.0,0
2485,0,4.0,1,4.0,0,2.0,0.0,0,4.0,1,6.0,1,0,1,0,0,0,7,215.4380641815,5025.0,0,0,5.0,4,0,3.0,2,0,0,0,1,0,1,38.5,0,18000.0,10050.0,3.0,0,36000,6.0,6.0,0
2487,0,1.0,0,4.0,0,0.0,0.0,0,5.0,1,6.0,1,0,1,0,0,0,7,718.5613247933334,3666.666667,0,0,4.0,3,0,2.0,3,0,0,0,1,0,9,42.66666667,0,11333.33333,11000.0,2.0,0,34000,6.0,6.0,0
2488,0,4.0,0,3.0,0,3.0,0.0,1,3.0,1,6.0,2,1,2,0,0,1,7,381.57248068600006,4000.0,0,1,4.0,1,0,2.0,5,0,1,0,1,0,7,38.2,0,20000.0,20000.0,1.0,0,100000,6.0,6.0,0
2490,1,2.0,0,6.0,1,0.0,0.0,0,8.0,1,4.0,1,1,2,0,0,0,7,564.0293477533334,6666.666667,0,0,6.0,5,1,1.0,3,0,1,1,1,0,2,25.33333333,0,16666.66667,20000.0,7.0,0,50000,6.0,6.0,0
2491,0,2.0,1,6.0,0,2.0,0.0,0,8.0,0,6.0,1,1,1,0,0,0,7,678.97273861,14600.0,0,0,6.0,1,0,1.0,2,0,1,0,1,0,1,52.0,0,15000.0,29200.0,8.0,0,30000,5.0,6.0,0
2492,0,2.0,0,4.0,1,1.0,0.0,0,8.0,1,6.0,1,0,0,0,0,0,7,376.5112317718,1000.0,0,1,4.0,2,0,1.0,5,0,1,1,1,0,7,31.2,0,4000.0,5000.0,8.0,0,20000,6.0,6.0,0
2497,0,2.0,0,5.0,0,1.0,0.0,1,8.0,0,6.0,1,0,0,0,0,1,7,464.7360066666667,666.6666667,0,0,6.0,2,0,2.0,3,0,0,0,1,0,8,41.0,0,1666.666667,2000.0,5.0,0,5000,6.0,6.0,0
2498,0,1.0,0,6.0,0,0.0,0.0,0,4.0,0,6.0,2,0,0,0,0,0,7,403.2719407596666,2333.333333,0,0,7.0,1,0,2.0,3,0,1,0,1,0,9,38.0,0,10000.0,7000.0,2.0,0,30000,6.0,6.0,0
2499,0,4.0,0,6.0,0,0.0,0.0,1,6.0,0,6.0,1,0,0,0,0,1,7,796.3816504933333,6666.666667,0,0,2.0,1,0,4.0,3,0,0,0,1,0,8,42.0,1,11666.66667,20000.0,5.0,0,35000,6.0,6.0,0
2500,0,0.0,0,4.0,1,0.0,0.0,1,6.0,1,6.0,2,1,1,0,0,2,6,265.85155725999994,3300.0,0,1,6.0,2,0,4.0,5,0,0,1,1,0,7,35.8,0,7200.0,16500.0,6.0,0,36000,4.0,4.0,0
2503,0,2.0,0,6.0,0,0.0,0.0,1,5.0,1,6.0,1,1,0,0,0,2,7,481.1677144333334,1780.0,0,0,7.0,2,0,2.0,3,0,0,0,0,0,8,54.0,0,5333.333333,5340.0,4.0,0,16000,6.0,6.0,0
2504,0,3.0,0,5.0,0,2.0,1.0,1,6.0,0,6.0,2,1,2,0,0,1,7,277.51098299,5000.0,0,1,6.0,2,0,3.0,5,0,0,0,2,0,7,32.8,0,20000.0,25000.0,3.0,0,100000,5.0,6.0,0
2505,0,3.0,0,6.0,0,0.0,0.0,1,8.0,1,6.0,1,1,1,0,0,2,7,108.51282401025,1725.0,0,0,6.0,3,0,2.0,4,0,0,0,1,0,8,47.0,0,375.0,6900.0,8.0,0,1500,6.0,6.0,0
2506,0,3.0,0,4.0,0,0.0,0.0,1,8.0,1,6.0,3,0,1,0,0,2,7,505.463916436,1700.0,0,1,4.0,3,0,3.0,5,0,0,0,1,0,7,41.2,0,11000.0,8500.0,5.0,0,55000,6.0,6.0,0
2507,0,2.0,0,5.0,0,0.0,0.0,1,8.0,0,6.0,1,0,2,0,0,2,7,813.8783168166666,2500.0,0,0,5.0,7,0,1.0,3,0,1,0,1,0,8,61.66666667,0,23333.33333,7500.0,8.0,0,70000,6.0,6.0,1
2508,0,2.0,0,4.0,0,0.0,0.0,0,8.0,1,6.0,2,1,0,0,0,0,7,557.0525288766667,5116.666667,0,0,6.0,4,0,1.0,3,0,1,0,1,0,9,37.0,0,20000.0,15350.0,8.0,0,60000,4.0,6.0,0
2510,0,2.0,0,6.0,0,1.0,0.0,1,6.0,0,6.0,1,1,0,1,0,1,7,1153.2245045,10000.0,0,0,6.0,2,0,1.0,1,0,0,0,0,1,5,64.0,0,45000.0,10000.0,5.0,0,45000,6.0,6.0,1
2511,0,4.0,0,5.0,1,2.0,0.0,1,8.0,1,6.0,1,1,0,0,0,2,7,330.332377,3000.0,1,0,7.0,4,0,1.0,4,0,0,1,0,0,4,41.5,0,0.0,12000.0,7.0,0,0,5.0,6.0,0
2513,0,4.0,0,5.0,0,0.0,0.0,1,8.0,1,6.0,1,1,2,0,0,1,7,601.4700777,5150.0,0,0,0.0,1,0,2.0,4,0,0,0,1,0,8,40.25,0,7500.0,20600.0,7.0,0,30000,6.0,6.0,0
2514,0,1.0,0,3.0,0,0.0,1.0,0,7.0,1,3.0,1,0,1,0,0,0,7,668.4427201600001,24666.66667,0,0,5.0,2,0,5.0,3,0,1,0,1,0,9,38.33333333,0,50000.0,74000.0,6.0,0,150000,3.0,6.0,1
2517,0,3.0,0,6.0,0,2.0,0.0,1,4.0,1,6.0,1,1,0,0,0,2,7,858.7451834999999,10000.0,0,0,5.0,2,0,3.0,2,1,0,0,1,0,6,59.0,0,10000.0,20000.0,3.0,0,20000,6.0,6.0,0
2518,0,2.0,0,6.0,1,2.0,0.0,0,8.0,1,6.0,1,0,0,0,0,0,7,329.84944502559995,3000.0,0,1,5.0,3,0,1.0,5,0,0,1,0,0,7,33.2,0,4000.0,15000.0,5.0,0,20000,6.0,6.0,0
2519,0,3.0,0,6.0,0,1.0,0.0,1,6.0,1,6.0,1,1,2,0,0,2,7,397.8764792,3750.0,0,0,6.0,2,0,1.0,4,0,1,0,1,0,8,46.5,0,30000.0,15000.0,5.0,0,120000,6.0,6.0,1
2520,0,2.0,0,4.0,0,1.0,0.0,1,7.0,0,6.0,1,0,0,0,0,2,7,37.01197419375001,1875.0,0,1,5.0,3,0,1.0,8,0,0,0,1,0,7,51.625,0,56.25,15000.0,6.0,0,450,6.0,6.0,0
2521,0,4.0,0,6.0,0,1.0,3.0,1,2.0,0,6.0,1,0,0,0,0,2,7,440.1950783566666,1000.0,0,0,6.0,2,0,1.0,3,0,0,0,0,0,8,59.66666667,0,1333.333333,3000.0,2.0,0,4000,6.0,6.0,0
