id,type,use
237,ac,0
237,vehicle,0
242,cooking,199.017
242,freezing,2.90086089
242,heating,0
242,heating,0
242,heating,0
242,laundry,5.338666667
242,lighting,4.920916
242,waterheating,214.578
242,vehicle,0
250,cooking,110.565
250,cooking,3.35517
250,cooking,9.319916667
250,freezing,12.76378792
250,heating,1756.96793
250,laundry,5.032755
250,television,20.13102
250,computer,38.02526
250,lighting,1.9683664
250,waterheating,83.87925
250,ac,6.317828125
250,ac,7.561230469
250,vehicle,1655.6625
253,cooking,362.7030225
253,cooking,11.1839
253,cooking,0
253,cooking,0
253,freezing,12.76378792
253,heating,0
253,heating,0
253,heating,0
253,laundry,0.671034
253,television,107.36544
253,lighting,4.47356
253,lighting,1.9683664
253,waterheating,234.0435659
253,vehicle,0
257,cooking,331.695
257,cooking,23.7657875
257,cooking,20.13102
257,cooking,13.42068
257,freezing,15.9547349
257,heating,1135.102041
257,laundry,8.872560667
257,television,304.20208
257,computer,8.94712
257,computer,19.124469
257,lighting,4.47356
257,lighting,4.47356
257,lighting,0.894712
257,waterheating,208.2569476
257,ac,2.74220625
257,ac,2.74220625
257,vehicle,0
259,cooking,199.017
259,cooking,4.47356
259,cooking,22.3678
259,cooking,2.912473958
259,freezing,18.51177041
259,heating,1518.367347
259,laundry,15.65746
259,television,139.79875
259,computer,38.02526
259,computer,1.677585
259,lighting,8.8576488
259,waterheating,83.87925
259,ac,3.656275
259,ac,9.1406875
259,ac,9.678375
259,vehicle,2317.9275
267,cooking,72.5406045
267,cooking,20.13102
267,freezing,31.90946979
267,heating,553.444898
267,laundry,0.2795975
267,television,33.5517
267,television,33.5517
267,lighting,3.0420208
267,waterheating,355.7025756
267,ac,2.711029412
267,vehicle,0
268,cooking,284.31
268,cooking,12.222405
268,cooking,16.29654
268,cooking,35.94825
268,freezing,15.9547349
268,freezing,15.9547349
268,heating,3243.148688
268,laundry,3.578848
268,television,11.50344
268,television,11.50344
268,computer,13.037232
268,computer,0.862758
268,lighting,21.08964
268,lighting,3.83448
268,lighting,4.217928
268,waterheating,304.887922
268,ac,7.201171875
268,vehicle,0
270,cooking,66.339
270,cooking,1.342068
270,cooking,0.894712
270,cooking,10.06551
270,freezing,12.76378792
270,heating,1992.857143
270,laundry,0.2795975
270,television,20.13102
270,computer,15.210104
270,computer,14.762748
270,lighting,7.605052
270,waterheating,187.2348527
270,ac,0
270,vehicle,0
280,cooking,0
280,cooking,0.559195
280,freezing,0
280,heating,1327.696793
280,laundry,4.47356
280,computer,16.104816
280,computer,16.104816
280,lighting,10.736544
280,waterheating,357.63
280,ac,71.35429412
280,ac,71.35429412
280,vehicle,0
293,cooking,16.77585
293,cooking,33.5517
293,cooking,27.95975
293,freezing,0
293,heating,0
293,computer,1.677585
293,lighting,5.815628
293,vehicle,0
303,cooking,4.47356
303,cooking,2.684136
303,cooking,0.931991667
303,freezing,19.14568188
303,heating,491.9825073
303,laundry,11.648
303,computer,23.262512
303,computer,23.262512
303,computer,23.262512
303,lighting,4.026204
303,waterheating,83.87925
303,vehicle,0
304,cooking,97.461
304,cooking,10.06551
304,cooking,7.82873
304,freezing,15.9547349
304,heating,752.8040816
304,television,80.52408
304,television,44.7356
304,lighting,20.13102
304,lighting,2.23678
304,ac,0
304,vehicle,0
317,cooking,132.678
317,cooking,0
317,cooking,16.77585
317,cooking,0
317,freezing,12.76378792
317,heating,756.7346939
317,laundry,3.2032
317,computer,30.755725
317,lighting,2.9525496
317,waterheating,214.578
317,ac,7.107556641
317,ac,6.169964063
317,vehicle,0
319,cooking,796.068
319,cooking,0
319,freezing,19.97293356
319,heating,1945.889213
319,laundry,3.35517
319,television,87.23442
319,lighting,2.23678
319,waterheating,190.4354485
319,ac,36.72597656
319,ac,9.79359375
319,vehicle,0
321,cooking,362.7030225
321,freezing,0
321,heating,1311.953353
321,laundry,0
321,television,60.39306
321,computer,0
321,lighting,4.920916
321,waterheating,280.0521301
321,ac,15.42491016
321,ac,6.169964063
321,vehicle,0
337,cooking,217.6218135
337,heating,0
337,computer,57.373407
337,lighting,20.13102
337,lighting,1.342068
337,vehicle,0
345,cooking,1.3979875
345,heating,0
345,heating,0
345,heating,0
345,lighting,2.23678
345,waterheating,195.71825
345,vehicle,0
346,cooking,0
346,cooking,199.017
346,cooking,0
346,cooking,0
346,freezing,0
346,heating,3131.632653
346,laundry,0
346,computer,9.490338
346,computer,3.83448
346,computer,0.718965
346,lighting,23.9655
346,lighting,3.259308
346,waterheating,59.91375
346,ac,18.00292969
346,ac,18.00292969
346,ac,18.00292969
346,vehicle,3642.4575
366,freezing,15.9547349
366,heating,1967.930029
366,television,7.66896
366,computer,8.180224
366,lighting,15.33792
366,waterheating,54.41012813
366,vehicle,0
368,cooking,221.13
368,cooking,10.06551
368,cooking,13.42068
368,cooking,1.9571825
368,freezing,23.96752027
368,heating,1991.54519
368,laundry,3.131492
368,television,20.13102
368,television,20.13102
368,computer,12.749646
368,computer,3.578848
368,lighting,4.920916
368,waterheating,279.5429444
368,ac,40.83064453
368,ac,25.20410156
368,vehicle,2023.5875
370,cooking,145.081209
370,freezing,22.21412449
370,heating,1992.857143
370,laundry,9.319916667
370,computer,68.445468
370,lighting,30.420208
370,waterheating,249.6464702
370,ac,0
370,ac,6.093791667
370,vehicle,0
374,cooking,0
374,cooking,0
374,heating,0
374,computer,0
374,lighting,0
374,vehicle,0
376,cooking,309.582
376,cooking,28.518945
376,cooking,27.95975
376,freezing,31.90946979
376,heating,2837.755102
376,laundry,1.789424
376,television,60.39306
376,lighting,6.71034
376,lighting,1.342068
376,ac,3.9174375
376,vehicle,0
381,cooking,796.068
381,cooking,3.35517
381,cooking,22.3678
381,cooking,1.3979875
381,freezing,0
381,heating,1789.504373
381,laundry,0
381,computer,8.94712
381,lighting,20.13102
381,lighting,4.47356
381,lighting,2.23678
381,waterheating,335.517
381,ac,23.69185547
381,vehicle,993.3975
387,cooking,189.54
387,cooking,2.39655
387,cooking,7.9885
387,cooking,11.98275
387,freezing,31.90946979
387,heating,1254.673469
387,laundry,4.601376
387,television,99.69648
387,television,11.50344
387,computer,13.037232
387,computer,3.067584
