id,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren
14762,7,0,0,0,0,0,0,0,0,1,0,3,1,0
14775,7,0,0,0,0,0,0,0,0,1,1,0,0,1
14777,7,0,0,0,0,0,0,0,0,1,5,0,0,1
14778,8,0,0,0,0,0,0,0,0,0,0,1,1,0
14781,5,1,1,0,0,0,0,0,0,0,0,1,1,0
14784,7,0,0,0,0,0,0,0,0,1,2,2,1,1
14785,7,0,0,0,0,0,0,0,0,1,1,2,1,1
14805,8,0,0,0,0,0,0,0,0,0,0,1,1,0
14813,2,0,0,0,0,0,0,1,0,0,1,0,0,1
14821,4,0,0,0,0,0,0,0,1,0,2,1,1,1
14828,2,0,0,0,0,0,0,1,0,0,1,0,0,1
14832,7,0,0,0,0,0,0,0,0,1,1,2,1,1
14858,7,0,0,0,0,0,0,0,0,1,0,3,1,0
14862,8,0,0,0,0,0,0,0,0,0,0,2,1,0
14870,2,0,0,0,0,0,0,1,0,0,1,0,0,1
14889,7,0,0,0,0,0,0,0,0,1,0,1,1,0
14924,8,0,0,0,0,0,0,0,0,0,0,1,1,0
14928,4,0,0,0,0,0,0,0,1,0,2,2,1,1
14935,2,0,0,0,0,0,0,1,0,0,2,0,0,1
14942,2,0,0,0,0,0,0,1,0,0,1,0,0,1
14943,7,0,0,0,0,0,0,0,0,1,2,1,1,1
14949,2,0,0,0,0,0,0,1,0,0,2,0,0,1
14953,6,0,0,0,1,0,0,0,0,0,0,2,1,0
14958,2,0,0,0,0,0,0,1,0,0,1,0,0,1
14961,8,0,0,0,0,0,0,0,0,0,0,2,1,0
14963,7,0,0,0,0,0,0,0,0,1,2,2,1,1
14965,7,0,0,0,0,0,0,0,0,1,2,2,1,1
14966,7,0,0,0,0,0,0,0,0,1,3,2,1,1
14969,7,0,0,0,0,0,0,0,0,1,1,1,1,1
14973,8,0,0,0,0,0,0,0,0,0,0,1,1,0
14987,7,0,0,0,0,0,0,0,0,1,0,1,1,0
14991,8,0,0,0,0,0,0,0,0,0,0,2,1,0
14994,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14997,2,0,0,0,0,0,0,1,0,0,1,0,0,1
14998,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15000,7,0,0,0,0,0,0,0,0,1,0,2,1,0
15001,7,0,0,0,0,0,0,0,0,1,1,1,1,1
15005,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15006,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15015,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15024,7,0,0,0,0,0,0,0,0,1,0,3,1,0
15026,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15027,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15029,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15031,8,0,0,0,0,0,0,0,0,0,0,1,1,0
15032,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15035,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15042,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15053,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15059,7,0,0,0,0,0,0,0,0,1,0,1,1,0
15060,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15067,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15070,7,0,0,0,0,0,0,0,0,1,1,1,1,1
15071,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15076,6,0,0,0,1,0,0,0,0,0,0,1,1,0
15082,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15083,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15084,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15091,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15093,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15101,7,0,0,0,0,0,0,0,0,1,2,0,0,1
15102,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15105,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15111,7,0,0,0,0,0,0,0,0,1,0,2,1,0
15113,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15114,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15115,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15117,10,0,0,0,0,0,0,0,0,0,0,1,1,0
15121,6,0,0,0,1,0,0,0,0,0,0,1,1,0
15132,7,0,0,0,0,0,0,0,0,1,0,2,1,0
15137,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15140,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15142,8,0,0,0,0,0,0,0,0,0,0,1,1,0
15145,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15146,3,0,0,0,0,0,1,0,0,0,1,2,1,1
15151,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15157,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15163,7,0,0,0,0,0,0,0,0,1,0,2,1,0
15166,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15167,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15168,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15182,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15184,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15186,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15188,3,0,0,0,0,0,1,0,0,0,1,0,0,1
15190,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15191,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15193,7,0,0,0,0,0,0,0,0,1,1,0,0,1
15194,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15195,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15196,3,0,0,0,0,0,1,0,0,0,1,0,0,1
15197,7,0,0,0,0,0,0,0,0,1,0,2,1,0
15200,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15201,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15207,7,0,0,0,0,0,0,0,0,1,1,1,1,1
15211,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15212,2,0,0,0,0,0,0,1,0,0,1,0,0,1
15218,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15220,7,0,0,0,0,0,0,0,0,1,4,3,1,1
15230,6,0,0,0,1,0,0,0,0,0,0,1,1,0
15232,6,0,0,0,1,0,0,0,0,0,0,1,1,0
15237,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15243,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15253,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15259,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15260,7,0,0,0,0,0,0,0,0,1,0,1,1,0
15265,8,0,0,0,0,0,0,0,0,0,0,3,1,0
15266,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15270,5,1,1,0,0,0,0,0,0,0,0,1,1,0
15274,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15275,7,0,0,0,0,0,0,0,0,1,2,0,0,1
15281,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15284,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15286,8,0,0,0,0,0,0,0,0,0,0,2,1,0
15290,7,0,0,0,0,0,0,0,0,1,2,1,1,1
15291,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15292,6,0,0,0,1,0,0,0,0,0,0,2,1,0
15295,8,0,0,0,0,0,0,0,0,0,0,1,1,0
15299,1,0,0,0,0,1,0,0,0,0,0,0,0,0
15311,6,0,0,0,1,0,0,0,0,0,0,2,1,0
