Unnamed: 0_x,id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,prefecture_eng,region,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_ac_percap,en_computer_percap,en_cooking_percap,en_freezing_percap,en_heating_percap,en_laundry_percap,en_lighting_percap,en_television_percap,en_vehicle_percap,en_waterheating_percap,en_total,en_total_no_vehicle,en_total_percap
859,4366,黑龙江省,齐齐哈尔市,克山县,-1,29,2,0,5,2,3,3,3,5,2,3,40000,3,-99,7,13333.33333,2,-99,1.5,45,1,0.1,37.5,1,1,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,1,0,Qiqihaer,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,101.997168,156.3835,15.9547349,0,0,2.23678,0,0,139.79875,0,33.999056,52.12783333,5.318244967,0,0,0.745593333,0,0,46.59958333,416.3709329,416.3709329,138.790311
860,4379,黑龙江省,黑河市,逊克县,-1,38,2,1,5,1,-99,-99,2,3,2,4,70000,3,76000,7,23333.33333,5,1333.333,1.5,48.75,1,1,90,-99,1,-99,-99,-99,-99,0,6,105,3000,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Heihe,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,15.210104,485.775745,31.90946979,2295.918367,44.7356,8.052408,0,0,187.2348527,0,5.070034667,161.9252483,10.63648993,765.3061223,14.91186667,2.684136,0,0,62.41161757,3068.836546,3068.836546,1022.945515
861,4381,黑龙江省,哈尔滨市,双城市,1,50,2,0,4,1,-99,2,4,4,1,2,20000,3,27400,7,6666.666667,2,600,2,18.75,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,1,0,0,0,0,0,0,0,0,0,Harbin,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77.08701,7.252152226,0,4.47356,2.23678,171.11367,0,0,0,0,25.69567,2.417384075,0,1.491186667,0.745593333,57.03789,0,0,262.1631722,262.1631722,87.38772408
862,4382,黑龙江省,哈尔滨市,道外区,-1,56,1,1,4,1,2,5,1,2,0,2,15000,1,50000,6,15000,1,-99,3,52.5,0,-99,-99,-99,0,-99,-99,-99,-99,0,5.5,40,2500,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,1,0,0,0,Harbin,0,5,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,116.9532,31.90946979,2031.953353,1.11839,10.736544,28.7586,0,0,0,0,116.9532,31.90946979,2031.953353,1.11839,10.736544,28.7586,0,0,2221.429557,2221.429557,2221.429557
863,4386,黑龙江省,哈尔滨市,双城市,-1,49,1,1,4,1,-99,-99,3,3,1,2,20000,2,-99,7,10000,3,150,2,20,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,1,0,0,0,0,0,Harbin,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,160.179474,28.60909973,0,0,13.42068,87.23442,0,0,0,0,80.089737,14.30454987,0,0,6.71034,43.61721,0,0,289.4436737,289.4436737,144.7218369
864,4387,黑龙江省,七台河市,勃利县,-1,41,1,0,4,3,-99,-99,3,4,0,7,-99,3,40000,7,3333333,2,1500,1.05,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,1,0,Qitaihe,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,69.11848125,9.862927027,0,0.889777778,2.23678,0,0,0,0,0,23.03949375,3.287642342,0,0.296592593,0.745593333,0,0,0,82.10796605,82.10796605,27.36932202
865,4388,黑龙江省,哈尔滨市,双城市,1,61,3,0,4,1,-99,5,4,4,0,3,30000,2,9700,7,15000,2,1250,2.5,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Harbin,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,259.5614385,12.76378792,0,0,4.920916,120.78612,0,0,0,0,129.7807193,6.38189396,0,0,2.460458,60.39306,0,0,398.0322624,398.0322624,199.0161312
866,4392,黑龙江省,七台河市,勃利县,1,76,2,0,4,1,5,2,5,4,0,3,32800,2,12000,7,16400,3,1250,1,65,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,1,0,0,0,0,1,1,Qitaihe,0,7,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,148.039255,0,0,17.08373333,22.1888576,0,0,0,0,0,74.0196275,0,0,8.541866665,11.0944288,0,0,0,187.3118459,187.3118459,93.65592297
867,4402,黑龙江省,齐齐哈尔市,克山县,-1,52,3,0,4,6,2,2,2,4,0,2,20000,2,-99,7,10000,1,-99,1,52.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,1,0,Qiqihaer,0,6,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,78.19175,0,0,0,11.1839,0,0,0,0,0,39.095875,0,0,0,5.59195,0,0,0,89.37565,89.37565,44.687825
868,4404,黑龙江省,齐齐哈尔市,克山县,-1,45,2,0,4,1,5,2,4,2,0,1,3000,3,5000,7,1000,2,1250,2,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,1,2.75,6,7.5,1000,1,1.75,0,6,0,0,1,0,0,0,0,0,0,1,Qiqihaer,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,121.5143475,0,0,0,12.525968,0,1545.285,0,0,0,40.5047825,0,0,0,4.175322667,0,515.095,0,1679.325316,134.0403155,559.7751052
